institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
UKZN,tau_b,lime,lime,self,0.3183139592061525,0.1918627436864872,0.43674034794176153,,2421
UKZN,tau_b,kernelshap_prob,kernelshap_prob,self,0.4304360653803033,0.37580545314900154,0.4862652124300533,,2421
UKZN,tau_b,shap,occlusion,cross,0.4667154459348523,0.41044457186053074,0.5117792485428894,,2421
UKZN,tau_b,shap,lime,cross,0.4221514132294802,0.31727252987644927,0.5208268368958958,,2421
UKZN,tau_b,shap,kernelshap_prob,cross,0.7268582443303633,0.6551078161743289,0.7941325073477181,,2421
UKZN,tau_b,occlusion,lime,cross,0.26117869982816083,0.15724892467893206,0.3635284118268074,,2421
UKZN,tau_b,occlusion,kernelshap_prob,cross,0.43801768568218635,0.3802069999188578,0.4905848603814072,,2421
UKZN,tau_b,lime,kernelshap_prob,cross,0.4229460474813635,0.32877920656344795,0.5181766663017905,,2421
Zambia,tau_strict,shap,shap,self,0.24380952380952384,0.1367965367965368,0.37460317460317466,0.38549999999999995,40
Zambia,tau_strict,occlusion,occlusion,self,0.5085714285714287,0.48148148148148157,0.5307359307359308,0.5075000000000001,40
Zambia,tau_strict,lime,lime,self,0.11000000000000001,-0.030303030303030307,0.2814814814814815,0.31449999999999995,40
Zambia,tau_strict,kernelshap_prob,kernelshap_prob,self,0.20190476190476195,0.08917748917748919,0.3396825396825397,0.37675000000000003,40
Zambia,tau_strict,shap,occlusion,cross,0.4347619047619048,0.3445887445887446,0.544973544973545,0.47450000000000003,40
Zambia,tau_strict,shap,lime,cross,0.49428571428571433,0.4484848484848485,0.5502645502645502,0.5744999999999999,40
Zambia,tau_strict,shap,kernelshap_prob,cross,0.7238095238095239,0.6380952380952382,0.8285714285714287,0.7464999999999999,40
Zambia,tau_strict,occlusion,lime,cross,0.22904761904761908,0.10822510822510824,0.3767195767195768,0.3745,40
Zambia,tau_strict,occlusion,kernelshap_prob,cross,0.410952380952381,0.3151515151515152,0.5280423280423281,0.475,40
Zambia,tau_strict,lime,kernelshap_prob,cross,0.4800000000000001,0.43809523809523815,0.5312169312169313,0.541,40
Zambia,tau_b,shap,shap,self,0.22722947445312838,0.1367965367965368,0.33775862047785143,,40
Zambia,tau_b,occlusion,occlusion,self,0.3962453206673948,0.3771016178208461,0.4196431797020655,,40
Zambia,tau_b,lime,lime,self,0.11000000000000001,-0.030303030303030307,0.2814814814814815,,40
Zambia,tau_b,kernelshap_prob,kernelshap_prob,self,0.18491049349958466,0.08917748917748919,0.3019174987821458,,40
Zambia,tau_b,shap,occlusion,cross,0.40437438067296333,0.3295895716677704,0.49577803612375454,,40
Zambia,tau_b,shap,lime,cross,0.49024470222813504,0.4484848484848485,0.5412845234699296,,40
Zambia,tau_b,shap,kernelshap_prob,cross,0.7241744299081256,0.6380952380952382,0.8293823310127659,,40
Zambia,tau_b,occlusion,lime,cross,0.21162408068584893,0.13096598955208194,0.31020619207156414,,40
Zambia,tau_b,occlusion,kernelshap_prob,cross,0.4030611669231579,0.3344005699614391,0.48697967432081424,,40
Zambia,tau_b,lime,kernelshap_prob,cross,0.4762359784126501,0.43809523809523815,0.5228524388005981,,40
Oviedo,tau_strict,shap,shap,self,0.42935071747030834,0.386664532438128,0.466898766075446,0.5230369787568844,1271
Oviedo,tau_strict,occlusion,occlusion,self,0.6261211644374509,0.5784052065616118,0.6750119575862066,0.6099685287175453,1271
Oviedo,tau_strict,lime,lime,self,0.3199655314525495,0.24883360298658863,0.38166838901872974,0.4841306058221873,1271
Oviedo,tau_strict,kernelshap_prob,kernelshap_prob,self,0.4330223670900304,0.3861673303467729,0.47083960313177287,0.5242014162077104,1271
Oviedo,tau_strict,shap,occlusion,cross,0.5056161252856769,0.45582821051730144,0.5501210569723904,0.5664830841856806,1271
Oviedo,tau_strict,shap,lime,cross,0.3679967030085048,0.2490569113299298,0.4851437831304516,0.5138473642800945,1271
Oviedo,tau_strict,shap,kernelshap_prob,cross,0.8283466336967517,0.8031975159649816,0.8520566883005054,0.8438394964594808,1271
Oviedo,tau_strict,occlusion,lime,cross,0.21602038140197072,0.11003055742679736,0.31522214726026004,0.40734854445318647,1271
Oviedo,tau_strict,occlusion,kernelshap_prob,cross,0.5002510209433892,0.4501716064650726,0.5458422325441018,0.5587254130605823,1271
Oviedo,tau_strict,lime,kernelshap_prob,cross,0.37581956464725946,0.26129278167788983,0.49000582319931274,0.5171675845790715,1271
Oviedo,tau_b,shap,shap,self,0.4266904853489736,0.3834951040966492,0.46278303708230195,,1271
Oviedo,tau_b,occlusion,occlusion,self,0.5666540212475684,0.5150474657741667,0.6134980935551517,,1215
Oviedo,tau_b,lime,lime,self,0.3199655314525495,0.24883360298658863,0.38166838901872974,,1271
Oviedo,tau_b,kernelshap_prob,kernelshap_prob,self,0.43046217434173323,0.38303256909126226,0.4684813200783056,,1271
Oviedo,tau_b,shap,occlusion,cross,0.49992977712944675,0.45805509117550064,0.5366561110170166,,1216
Oviedo,tau_b,shap,lime,cross,0.36833218660457395,0.2493639355650017,0.48471496398800507,,1271
Oviedo,tau_b,shap,kernelshap_prob,cross,0.8283434826595192,0.8031975159649816,0.8520507719162842,,1271
Oviedo,tau_b,occlusion,lime,cross,0.2181510029752725,0.10876956646661382,0.3100444873647256,,1216
Oviedo,tau_b,occlusion,kernelshap_prob,cross,0.49100504650079724,0.4487586523198814,0.5272121726573841,,1216
Oviedo,tau_b,lime,kernelshap_prob,cross,0.37609496822522265,0.2615653747537649,0.4895826857199341,,1271
