target,target_institution,k,seed,auc,f1_at_0.5
oulad_DDD_2013J,OULAD,50,3,0.8358080556081279,0.6357510899722553
oulad_DDD_2013J,OULAD,100,3,0.8416888105130931,0.7425552353506244
oulad_DDD_2013J,OULAD,0,4,0.8286761130828912,0.5992049150704735
oulad_DDD_2013J,OULAD,25,4,0.83916781101026,0.636967565455256
oulad_DDD_2013J,OULAD,50,4,0.7664682300717469,0.597846268102488
oulad_DDD_2013J,OULAD,100,4,0.8405841532909568,0.7377521613832853
oulad_DDD_2014B,OULAD,0,0,0.8020673354312361,0.5612185120093731
oulad_DDD_2014B,OULAD,25,0,0.7737194022908309,0.5601436265709157
oulad_DDD_2014B,OULAD,50,0,0.7708803372149442,0.6195652173913043
oulad_DDD_2014B,OULAD,100,0,0.8388076873485392,0.6525998492840994
oulad_DDD_2014B,OULAD,0,1,0.8020673354312361,0.5612185120093731
oulad_DDD_2014B,OULAD,25,1,0.7920788334419513,0.5599520383693045
oulad_DDD_2014B,OULAD,50,1,0.7699539058709366,0.6237148732008225
oulad_DDD_2014B,OULAD,100,1,0.8292894080709207,0.6682653876898481
oulad_DDD_2014B,OULAD,0,2,0.8020673354312361,0.5612185120093731
oulad_DDD_2014B,OULAD,25,2,0.785198666070194,0.5610047846889952
oulad_DDD_2014B,OULAD,50,2,0.8023725928290243,0.5964450296247531
oulad_DDD_2014B,OULAD,100,2,0.8521855349575742,0.6275659824046921
oulad_DDD_2014B,OULAD,0,3,0.8020673354312361,0.5612185120093731
oulad_DDD_2014B,OULAD,25,3,0.7699702076156781,0.56062424969988
oulad_DDD_2014B,OULAD,50,3,0.7576082819517393,0.5939553219448095
oulad_DDD_2014B,OULAD,100,3,0.8313821921677439,0.618808327351041
oulad_DDD_2014B,OULAD,0,4,0.8020673354312361,0.5612185120093731
oulad_DDD_2014B,OULAD,25,4,0.8410445374731089,0.5597597597597598
oulad_DDD_2014B,OULAD,50,4,0.7715770030714164,0.5833333333333334
oulad_DDD_2014B,OULAD,100,4,0.8213244290207989,0.6939471440750213
oulad_DDD_2014J,OULAD,0,0,0.8215819170937866,0.6104046242774567
oulad_DDD_2014J,OULAD,25,0,0.8260998967293347,0.6504406210658833
oulad_DDD_2014J,OULAD,50,0,0.8355182564617049,0.6805125939019001
oulad_DDD_2014J,OULAD,100,0,0.8178905430907948,0.6922320550639135
oulad_DDD_2014J,OULAD,0,1,0.8215819170937866,0.6104046242774567
oulad_DDD_2014J,OULAD,25,1,0.5685842977920053,0.6065899166335847
oulad_DDD_2014J,OULAD,50,1,0.7866330490799166,0.6690171881886293
oulad_DDD_2014J,OULAD,100,1,0.8241868555620757,0.700207468879668
oulad_DDD_2014J,OULAD,0,2,0.8215819170937866,0.6104046242774567
oulad_DDD_2014J,OULAD,25,2,0.7921156415394893,0.6103286384976526
oulad_DDD_2014J,OULAD,50,2,0.7876553246615905,0.6707638279192274
oulad_DDD_2014J,OULAD,100,2,0.7854352608202211,0.6690810321412404
oulad_DDD_2014J,OULAD,0,3,0.8212097483239917,0.6104046242774567
oulad_DDD_2014J,OULAD,25,3,0.7713714998695743,0.6097847358121331
oulad_DDD_2014J,OULAD,50,3,0.827876272505413,0.6471337579617834
oulad_DDD_2014J,OULAD,100,3,0.8278670367877972,0.6799814212726428
oulad_DDD_2014J,OULAD,0,4,0.8215819170937866,0.6104046242774567
oulad_DDD_2014J,OULAD,25,4,0.8291969761802881,0.6510263929618768
oulad_DDD_2014J,OULAD,50,4,0.8299482222715594,0.681191640729213
oulad_DDD_2014J,OULAD,100,4,0.8230541991982319,0.6855025474756832
oulad_FFF_2013B,OULAD,0,0,0.6616663387763132,0.6527545909849749
oulad_FFF_2013B,OULAD,25,0,0.8136001776142598,0.697632058287796
oulad_FFF_2013B,OULAD,50,0,0.8249072268902061,0.7364144235652615
oulad_FFF_2013B,OULAD,100,0,0.8263472687794882,0.7577235772357723
oulad_FFF_2013B,OULAD,0,1,0.6616663387763132,0.6527545909849749
oulad_FFF_2013B,OULAD,25,1,0.7802659041311408,0.6941176470588235
oulad_FFF_2013B,OULAD,50,1,0.8240920818272305,0.7447236180904523
oulad_FFF_2013B,OULAD,100,1,0.8253864268444371,0.7555797495917257
oulad_FFF_2013B,OULAD,0,2,0.6616663387763132,0.6527545909849749
oulad_FFF_2013B,OULAD,25,2,0.6641273073909472,0.6505307855626327
oulad_FFF_2013B,OULAD,50,2,0.8023150156762906,0.7178997613365156
oulad_FFF_2013B,OULAD,100,2,0.823723323969645,0.7372750642673522
oulad_FFF_2013B,OULAD,0,3,0.6616663387763132,0.6527545909849749
oulad_FFF_2013B,OULAD,25,3,0.8236455811858164,0.6885984677782785
oulad_FFF_2013B,OULAD,50,3,0.8088271656489536,0.7009345794392523
oulad_FFF_2013B,OULAD,100,3,0.7971335524256103,0.715852442671984
oulad_FFF_2013B,OULAD,0,4,0.6616663387763132,0.6527545909849749
oulad_FFF_2013B,OULAD,25,4,0.800808696699896,0.7181647940074907
oulad_FFF_2013B,OULAD,50,4,0.8052452909249233,0.7325062034739455
oulad_FFF_2013B,OULAD,100,4,0.8212272842384707,0.7559322033898305
oulad_FFF_2013J,OULAD,0,0,0.8312243438955766,0.6483126110124334
oulad_FFF_2013J,OULAD,25,0,0.8072482458787582,0.6887755102040817
oulad_FFF_2013J,OULAD,50,0,0.8113952983899475,0.7079705291359678
oulad_FFF_2013J,OULAD,100,0,0.841559275534322,0.7204793796263659
oulad_FFF_2013J,OULAD,0,1,0.8311566963393446,0.6483126110124334
oulad_FFF_2013J,OULAD,25,1,0.7997139545392036,0.7063051290427965
oulad_FFF_2013J,OULAD,50,1,0.776105110028773,0.7052980132450332
oulad_FFF_2013J,OULAD,100,1,0.8413486775691501,0.7047230716955487
