target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_at_0.5
ku_Accountancy_1819,KU Leuven,P_out_other_institutions,28,raw,logistic_regression,756,0.6103410755388157,0.8102481985588471
ku_Globaleconom_1819,KU Leuven,P_in_leave_one_cohort_out,1,raw,logistic_regression,743,0.5836069193963931,0.7130124777183601
ku_Globaleconom_1819,KU Leuven,P_out_other_institutions,28,raw,logistic_regression,743,0.6214280456385719,0.7200720072007201
ukzn_ISTN101_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,1056,0.6678612385321101,0.9045643153526971
ukzn_ISTN101_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,1056,0.6599147387315516,0.8952176249328319
ukzn_ISTN101_2020,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,978,0.7197776850244941,0.9726890756302521
ukzn_ISTN101_2020,UKZN,P_out_other_institutions,14,raw,logistic_regression,978,0.704136552360449,0.7113543091655267
ukzn_ISTN101_2021,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,741,0.8487849417052957,0.9556025369978859
ukzn_ISTN101_2021,UKZN,P_out_other_institutions,14,raw,logistic_regression,741,0.7901390644753475,0.9580668088130775
ukzn_ISTN102_2018,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,257,0.6507158418923125,0.8475336322869955
ukzn_ISTN102_2018,UKZN,P_out_other_institutions,14,raw,logistic_regression,257,0.6555399937752879,0.7837837837837838
ukzn_ISTN103_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,1113,0.6420397703977039,0.8442367601246106
ukzn_ISTN103_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,1113,0.6599815498154982,0.7840290381125227
ukzn_ISTN103_2020,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,1082,0.6886336046041095,0.9438750610053684
ukzn_ISTN103_2020,UKZN,P_out_other_institutions,14,raw,logistic_regression,1082,0.6502000809316129,0.73125
ukzn_ISTN211_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,280,0.7396652550917523,0.9648798521256932
ukzn_ISTN211_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,280,0.7209114740875178,0.9628252788104089
ukzn_ISTN211_2021,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,327,0.7721062618595825,0.9733124018838305
ukzn_ISTN211_2021,UKZN,P_out_other_institutions,14,raw,logistic_regression,327,0.8235294117647058,0.9168081494057725
ukzn_ISTN212_2018,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,238,0.7228795688847235,0.8981481481481481
ukzn_ISTN212_2018,UKZN,P_out_other_institutions,14,raw,logistic_regression,238,0.7727858481724461,0.8724489795918368
ukzn_ISTN212_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,264,0.7730587730587731,0.9135802469135802
ukzn_ISTN212_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,264,0.7388459888459888,0.8584474885844748
ukzn_ISTN2IP_2018,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,99,0.7491891891891891,0.8554913294797688
ukzn_ISTN2IP_2018,UKZN,P_out_other_institutions,14,raw,logistic_regression,99,0.6605405405405405,0.672
ukzn_ISTN2IP_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,116,0.7479707792207793,0.8627450980392157
ukzn_ISTN2IP_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,116,0.7410714285714286,0.8712871287128713
ukzn_ISTN3ND_2018,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,144,0.5825771324863884,0.7532467532467533
ukzn_ISTN3ND_2018,UKZN,P_out_other_institutions,14,raw,logistic_regression,144,0.5232909860859044,0.6354166666666666
ukzn_ISTN3ND_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,223,0.5898933468765871,0.8822055137844611
ukzn_ISTN3ND_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,223,0.6936262061960385,0.8691099476439791
ukzn_ISTN3SA_2018,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,141,0.6756756756756758,0.8809523809523809
ukzn_ISTN3SA_2018,UKZN,P_out_other_institutions,14,raw,logistic_regression,141,0.6393393393393393,0.8477366255144033
ukzn_ISTN3SA_2019,UKZN,P_in_leave_one_cohort_out,15,raw,logistic_regression,195,0.5978823529411765,0.9315068493150684
ukzn_ISTN3SA_2019,UKZN,P_out_other_institutions,14,raw,logistic_regression,195,0.6021176470588235,0.9164265129682997
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,1767,0.8607936782707998,0.7696693272519954
oulad_BBB_2013B,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,1767,0.7569862496964185,0.6249027237354086
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,gradient_boosting,2237,0.8684753539171097,0.7853260869565217
oulad_BBB_2013J,OULAD,P_out_other_institutions,18,zscore,gradient_boosting,2237,0.7821528089167896,0.6479298881837413
