source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_at_0.5,explanation_tau,explanation_jaccard_top3
oulad_DDD_2014J,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,327,0.8098671726755218,0.3013698630136986,-0.04761904761904762,0.2
oulad_DDD_2014J,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,238,0.7726686972820993,0.228310502283105,0.04761904761904762,0.2
oulad_DDD_2014J,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,264,0.7490347490347491,0.15767634854771784,0.23809523809523814,0.2
oulad_DDD_2014J,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,99,0.667027027027027,0.12658227848101267,-0.04761904761904762,0.2
oulad_DDD_2014J,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,116,0.7313311688311689,0.8070175438596491,0.14285714285714288,0.5
oulad_DDD_2014J,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,144,0.553942327082073,0.06666666666666667,-0.04761904761904762,0.2
oulad_DDD_2014J,ukzn_ISTN3ND_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,223,0.6970543423057389,0.48360655737704916,0.23809523809523814,0.5
oulad_DDD_2014J,ukzn_ISTN3SA_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,141,0.657057057057057,0.751269035532995,0.5238095238095238,0.5
oulad_DDD_2014J,ukzn_ISTN3SA_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,195,0.6070588235294118,0.75,0.23809523809523814,0.5
oulad_FFF_2013B,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1767,0.8640768797507272,0.6197836166924265,0.23809523809523814,0.5
oulad_FFF_2013B,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2237,0.8642471654602524,0.5110821382007823,0.5238095238095238,1.0
oulad_FFF_2013B,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1613,0.8634319274919968,0.37433155080213903,0.7142857142857143,1.0
oulad_FFF_2013B,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2292,0.8661340308235868,0.4803001876172608,1.0,1.0
oulad_FFF_2013B,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1303,0.8404594120119675,0.7296137339055794,0.8095238095238096,0.5
oulad_FFF_2013B,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1938,0.8646516439135443,0.7420494699646644,0.6190476190476191,1.0
oulad_FFF_2013B,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1228,0.8660956431818625,0.7015250544662309,0.6190476190476191,0.5
oulad_FFF_2013B,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1803,0.8560293838483749,0.6981519507186859,0.6190476190476191,0.5
oulad_FFF_2013B,oulad_FFF_2013B,OULAD,OULAD,D0_within_cohort,raw,logistic_regression,1614,0.8407236745032461,0.7730792138177487,1.0,1.0
oulad_FFF_2013B,oulad_FFF_2013J,OULAD,OULAD,D1_same_module,raw,logistic_regression,2283,0.879583506295835,0.7776236708275543,0.8095238095238096,0.5
oulad_FFF_2013B,oulad_FFF_2014B,OULAD,OULAD,D1_same_module,raw,logistic_regression,1500,0.8749322228728826,0.7720861172976986,0.7142857142857143,0.5
oulad_FFF_2013B,oulad_FFF_2014J,OULAD,OULAD,D1_same_module,raw,logistic_regression,2365,0.9063479185317816,0.8058608058608059,0.7142857142857143,0.5
oulad_FFF_2013B,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,756,0.632822766269094,0.0,-0.04761904761904762,0.2
oulad_FFF_2013B,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,743,0.6200000000000001,0.0,0.6190476190476191,0.5
oulad_FFF_2013B,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1056,0.6761816912644595,0.39388489208633093,0.5238095238095238,0.5
oulad_FFF_2013B,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,978,0.7209419828211154,0.15674603174603174,-0.14285714285714288,0.5
oulad_FFF_2013B,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,741,0.7957578311560612,0.8078902229845626,0.23809523809523814,0.5
oulad_FFF_2013B,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,257,0.6563958916900093,0.0,0.4285714285714286,0.5
oulad_FFF_2013B,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1113,0.6633476834768348,0.009779951100244499,-0.23809523809523814,0.2
oulad_FFF_2013B,ukzn_ISTN103_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1082,0.6617013623488153,0.04641775983854692,0.04761904761904762,0.5
oulad_FFF_2013B,ukzn_ISTN211_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,280,0.7588223432143577,0.4121212121212121,-0.23809523809523814,0.2
oulad_FFF_2013B,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,327,0.8062618595825427,0.0,0.14285714285714288,0.2
oulad_FFF_2013B,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,238,0.7755974695407685,0.0,0.14285714285714288,0.2
oulad_FFF_2013B,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,264,0.7498927498927499,0.0,0.14285714285714288,0.2
oulad_FFF_2013B,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,99,0.6551351351351351,0.02666666666666667,-0.04761904761904762,0.2
oulad_FFF_2013B,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,116,0.7284902597402598,0.37037037037037035,0.4285714285714286,0.5
oulad_FFF_2013B,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,144,0.5543456342004436,0.0,0.04761904761904762,0.5
oulad_FFF_2013B,ukzn_ISTN3ND_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,223,0.6988318943626206,0.011111111111111112,0.04761904761904762,0.5
oulad_FFF_2013B,ukzn_ISTN3SA_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,141,0.648948948948949,0.2748091603053435,0.6190476190476191,0.5
oulad_FFF_2013B,ukzn_ISTN3SA_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,195,0.6134117647058823,0.44642857142857145,0.33333333333333337,0.5
oulad_FFF_2013J,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1767,0.8628302579021616,0.765386959171237,0.6190476190476191,0.5
oulad_FFF_2013J,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2237,0.8655563384792775,0.7070600632244468,0.6190476190476191,1.0
oulad_FFF_2013J,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1613,0.8647437907725555,0.6786551993745114,0.7142857142857143,1.0
oulad_FFF_2013J,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2292,0.8670942221003898,0.7235067437379576,0.8095238095238096,1.0
oulad_FFF_2013J,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1303,0.8406967831268699,0.729121278140886,0.8095238095238096,0.5
oulad_FFF_2013J,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1938,0.8653978143514898,0.781,0.8095238095238096,1.0
oulad_FFF_2013J,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1228,0.8668147648500018,0.7596759675967597,0.7142857142857143,0.5
oulad_FFF_2013J,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1803,0.8567462458412012,0.7642369020501139,0.7142857142857143,0.5
oulad_FFF_2013J,oulad_FFF_2013B,OULAD,OULAD,D1_same_module,raw,logistic_regression,1614,0.8450887148337596,0.7754010695187166,0.7142857142857143,0.5
oulad_FFF_2013J,oulad_FFF_2013J,OULAD,OULAD,D0_within_cohort,raw,logistic_regression,2283,0.8775617668311734,0.8020092088740058,1.0,1.0
oulad_FFF_2013J,oulad_FFF_2014B,OULAD,OULAD,D1_same_module,raw,logistic_regression,1500,0.8750063258651977,0.7830065359477124,0.7142857142857143,0.5
oulad_FFF_2013J,oulad_FFF_2014J,OULAD,OULAD,D1_same_module,raw,logistic_regression,2365,0.9061901011179212,0.8332633347333054,0.8095238095238096,1.0
oulad_FFF_2013J,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,756,0.6291399874450723,0.07899461400359066,-0.33333333333333337,0.0
oulad_FFF_2013J,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,743,0.6200147221199852,0.014218009478672985,0.5238095238095238,0.5
oulad_FFF_2013J,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1056,0.6709588153171121,0.813953488372093,0.4285714285714286,0.5
oulad_FFF_2013J,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,978,0.7179104149733091,0.42408821034775235,-0.14285714285714288,0.5
oulad_FFF_2013J,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,741,0.784286182516271,0.9234268385140257,0.14285714285714288,0.5
oulad_FFF_2013J,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,257,0.6501711795829443,0.05128205128205128,0.23809523809523814,0.5
oulad_FFF_2013J,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1113,0.6609081590815908,0.08235294117647059,-0.33333333333333337,0.2
oulad_FFF_2013J,ukzn_ISTN103_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1082,0.6587698394856346,0.12027158098933075,0.14285714285714288,0.5
oulad_FFF_2013J,ukzn_ISTN211_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,280,0.7523694293204275,0.8528784648187633,-0.14285714285714288,0.2
oulad_FFF_2013J,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,327,0.7998102466793169,0.2132564841498559,-0.04761904761904762,0.0
oulad_FFF_2013J,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,238,0.7758317713214621,0.14354066985645933,0.04761904761904762,0.2
oulad_FFF_2013J,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,264,0.7414199914199914,0.06956521739130435,0.04761904761904762,0.2
oulad_FFF_2013J,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,99,0.645945945945946,0.07792207792207792,-0.04761904761904762,0.2
oulad_FFF_2013J,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,116,0.7195616883116883,0.813953488372093,0.33333333333333337,0.5
oulad_FFF_2013J,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,144,0.5484976809840694,0.0449438202247191,0.04761904761904762,0.5
oulad_FFF_2013J,ukzn_ISTN3ND_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,223,0.690959878110716,0.27488151658767773,0.23809523809523814,0.5
oulad_FFF_2013J,ukzn_ISTN3SA_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,141,0.6435435435435436,0.751269035532995,0.5238095238095238,0.5
oulad_FFF_2013J,ukzn_ISTN3SA_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,195,0.6174117647058823,0.7542087542087542,0.4285714285714286,0.5
oulad_FFF_2014B,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1767,0.8608304956000061,0.6924157303370787,0.8095238095238096,0.5
oulad_FFF_2014B,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2237,0.863537729805906,0.5972471573907839,0.14285714285714288,0.5
oulad_FFF_2014B,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1613,0.8636539351240913,0.5118483412322274,0.7142857142857143,0.5
oulad_FFF_2014B,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,2292,0.8659231085526315,0.5509609784507863,0.8095238095238096,0.5
oulad_FFF_2014B,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1303,0.8406794748164083,0.7395498392282959,0.8095238095238096,1.0
oulad_FFF_2014B,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1938,0.8645265570325475,0.7689750692520776,0.7142857142857143,1.0
oulad_FFF_2014B,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,logistic_regression,1228,0.8670461101928528,0.7405900305188199,0.6190476190476191,0.5
oulad_FFF_2014B,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,logistic_regression,1803,0.8571696190390553,0.733921815889029,1.0,1.0
oulad_FFF_2014B,oulad_FFF_2013B,OULAD,OULAD,D1_same_module,raw,logistic_regression,1614,0.8448381861105647,0.776878612716763,0.8095238095238096,1.0
oulad_FFF_2014B,oulad_FFF_2013J,OULAD,OULAD,D1_same_module,raw,logistic_regression,2283,0.8773726611626155,0.7879604672057502,0.5238095238095238,0.5
oulad_FFF_2014B,oulad_FFF_2014B,OULAD,OULAD,D0_within_cohort,raw,logistic_regression,1500,0.872313314681068,0.77577505407354,1.0,1.0
oulad_FFF_2014B,oulad_FFF_2014J,OULAD,OULAD,D1_same_module,raw,logistic_regression,2365,0.905431142827629,0.8160356347438753,0.5238095238095238,0.5
oulad_FFF_2014B,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,756,0.6309981167608286,0.0,-0.23809523809523814,0.2
oulad_FFF_2014B,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,logistic_regression,743,0.620022083179978,0.0,0.6190476190476191,0.5
oulad_FFF_2014B,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1056,0.6795223374551256,0.5172413793103449,0.4285714285714286,0.5
oulad_FFF_2014B,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,978,0.727642187122427,0.18377321603128055,-0.14285714285714288,0.5
oulad_FFF_2014B,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,logistic_regression,741,0.7888046073886782,0.8078902229845626,-0.04761904761904762,0.2
oulad_FFF_2014B,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,logistic_regression,257,0.6563958916900094,0.0,0.5238095238095238,1.0
oulad_FFF_2014B,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1113,0.6643480934809347,0.009779951100244499,-0.14285714285714288,0.2
oulad_FFF_2014B,ukzn_ISTN103_2020,OULAD,UKZN,D3_other_institution,raw,logistic_regression,1082,0.6651364596915607,0.04048582995951417,0.14285714285714288,0.5
oulad_FFF_2014B,ukzn_ISTN211_2019,OULAD,UKZN,D3_other_institution,raw,logistic_regression,280,0.7620488001613229,0.5760869565217391,-0.14285714285714288,0.2
