target,institution,source_kind,source,attribute,groups,recall_best,recall_worst,recall_gap,worst_group
oulad_AAA_2013J,OULAD,transferred,oviedo_C174_1415,gender,2,0.288135593220339,0.13043478260869565,0.15770081061164334,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C174_1415,age_band,2,0.25,0.18867924528301888,0.06132075471698112,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C174_1415,highest_education,2,0.2692307692307692,0.17857142857142858,0.09065934065934064,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C190_1415,gender,2,0.1694915254237288,0.15217391304347827,0.017317612380250536,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C190_1415,age_band,2,0.16666666666666666,0.1320754716981132,0.03459119496855345,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C190_1415,highest_education,2,0.16071428571428573,0.15384615384615385,0.0068681318681318715,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C1978_1415,gender,2,0.10869565217391304,0.05084745762711865,0.05784819454679439,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C1978_1415,age_band,2,0.10416666666666667,0.03773584905660377,0.06643081761006289,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C1978_1415,highest_education,2,0.08928571428571429,0.038461538461538464,0.050824175824175824,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2011_1415,gender,2,0.41304347826086957,0.2711864406779661,0.14185703758290347,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C2011_1415,age_band,2,0.3584905660377358,0.3125,0.045990566037735825,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2011_1415,highest_education,2,0.35714285714285715,0.2692307692307692,0.08791208791208793,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2024_1415,gender,2,0.423728813559322,0.32608695652173914,0.09764185703758288,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C2024_1415,age_band,2,0.49056603773584906,0.2916666666666667,0.19889937106918237,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2024_1415,highest_education,2,0.4107142857142857,0.34615384615384615,0.06456043956043955,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2150_1415,gender,2,0.41304347826086957,0.4067796610169492,0.006263817243920389,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C2150_1415,age_band,2,0.5660377358490566,0.2708333333333333,0.2952044025157233,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2150_1415,highest_education,2,0.44642857142857145,0.38461538461538464,0.061813186813186816,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2271_1415,gender,2,0.30434782608695654,0.2711864406779661,0.03316138540899044,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C2271_1415,age_band,2,0.33962264150943394,0.25,0.08962264150943394,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2271_1415,highest_education,2,0.30357142857142855,0.2692307692307692,0.03434065934065933,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2335_1415,gender,2,0.45652173913043476,0.3050847457627119,0.15143699336772287,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C2335_1415,age_band,2,0.39622641509433965,0.3125,0.08372641509433965,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2335_1415,highest_education,2,0.4230769230769231,0.35714285714285715,0.06593406593406592,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C2406_1415,gender,2,0.3220338983050847,0.2391304347826087,0.08290346352247602,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C2406_1415,age_band,2,0.37735849056603776,0.20833333333333334,0.16902515723270442,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C2406_1415,highest_education,2,0.2692307692307692,0.26785714285714285,0.0013736263736263687,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C2468_1415,gender,2,0.17391304347826086,0.15254237288135594,0.021370670596904923,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C2468_1415,age_band,2,0.20833333333333334,0.1320754716981132,0.07625786163522014,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C2468_1415,highest_education,2,0.19642857142857142,0.11538461538461539,0.08104395604395603,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C2607_1415,gender,2,0.3728813559322034,0.15217391304347827,0.22070744288872512,F
