feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_social_clicks_to_date,0.33293971136927625,0.028861351676904904,0.0026246935445642444,0.5403105688290357,0.4996926883289708,higher values generally align with higher predicted final_grade,225.77077922077922,102.0,positive_permutation_rmse_increase,0.33293971136927625,0.013885888107704383,9
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_content_clicks_to_date,0.26112088651923554,0.010989335169027043,0.002643336286368293,0.5418005264883614,0.49979880960893114,higher values generally align with higher predicted final_grade,450.6720779220779,274.0,positive_permutation_rmse_increase,0.26112088651923554,0.01089054651329669,10
B_lms_plus_mastery_oulad,student_group,gradient_boosting,banked_assessment_rate_to_date,0.1795806223344801,0.013295371796804789,0.0014358520652707307,-0.030921936351536547,-0.05775810085340823,weak or mixed direction in held-out predictions,0.03205262270197335,0.0,positive_permutation_rmse_increase,0.1795806223344801,0.007489753678805593,11
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_assessment_score_mean_to_date,0.13374579471597012,0.011691313664700845,0.009613825204507756,0.5152694492435684,0.48143427767812325,higher values generally align with higher predicted final_grade,71.46120874796199,73.0,positive_permutation_rmse_increase,0.13374579471597012,0.005578124437796764,12
B_lms_plus_mastery_oulad,student_group,gradient_boosting,late_submission_rate_to_date,0.09800328257403237,0.009253660161023152,0.0017047925890780215,-0.059042086815657334,-0.05619054488963867,weak or mixed direction in held-out predictions,0.10578863776915726,0.0,positive_permutation_rmse_increase,0.09800328257403237,0.004087414536445498,13
B_lms_plus_mastery_oulad,student_group,gradient_boosting,course_week_progress,0.03845267783522447,0.00807564208645746,0.0025578864796660704,-0.0023844492699042347,2.0642493728773142e-16,weak or mixed direction in held-out predictions,0.5526315789473684,0.5526315789473685,positive_permutation_rmse_increase,0.03845267783522447,0.0016037425504622587,14
B_lms_plus_mastery_oulad,student_group,gradient_boosting,mastery_assessment_coverage_to_date,0.03604699430879895,0.008237586251442493,0.0035096673205483996,-0.00264769022771593,-5.478070448783499e-16,weak or mixed direction in held-out predictions,0.3132142857142857,0.3,positive_permutation_rmse_increase,0.03604699430879895,0.0015034089130805599,15
B_lms_plus_mastery_oulad,student_group,gradient_boosting,week_number,0.028170831952575644,0.007671810267940441,0.0021192211033267054,-0.0023844492699041505,1.2770929227909268e-16,weak or mixed direction in held-out predictions,21.0,21.0,positive_permutation_rmse_increase,0.028170831952575644,0.0011749184823451092,16
B_lms_plus_mastery_oulad,student_group,gradient_boosting,assessment_submission_rate_due_to_date,0.02469836403332219,0.009188674558445586,0.000883994611228976,0.853469482739831,0.7857195951036449,higher values generally align with higher predicted final_grade,0.6673300725248776,1.0,positive_permutation_rmse_increase,0.02469836403332219,0.0010300925593993608,17
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_assessment_score_count_to_date,0.02172247456501412,0.011050386455226827,0.00023902443306630147,0.7256261769985451,0.6709032135539278,higher values generally align with higher predicted final_grade,2.625383707201889,2.0,positive_permutation_rmse_increase,0.02172247456501412,0.0009059773914974191,18
B_lms_plus_mastery_oulad,student_group,gradient_boosting,current_assessment_cluster_mastery,0.013764503728395876,0.005076663705236686,0.00023831774983535425,0.3841235318519733,0.35138222770277044,higher values generally align with higher predicted final_grade,32.88961038961039,31.5,positive_permutation_rmse_increase,0.013764503728395876,0.000574074981456906,19
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_other_clicks_to_date,0.009478598350474716,0.010807097900441421,0.0016913251202886523,0.20218403867135515,0.17893571534887712,higher values generally align with higher predicted final_grade,4.253896103896104,0.0,positive_permutation_rmse_increase,0.009478598350474716,0.0003953230918932942,20
B_lms_plus_mastery_oulad,student_group,gradient_boosting,has_current_assessment_cluster,0.0009612883876573146,0.00036452891504883757,3.513246862704601e-05,-0.0012826311540849442,1.224494267133631e-16,weak or mixed direction in held-out predictions,0.2,0.0,positive_permutation_rmse_increase,0.0009612883876573146,4.0092372686176396e-05,21
B_lms_plus_mastery_oulad,student_group,gradient_boosting,has_weighted_score_to_date,0.0007432803611222264,0.00011904622899643806,1.76588284949746e-05,0.6519130639263325,0.6000626596235342,higher values generally align with higher predicted final_grade,0.7738488783943329,1.0,positive_permutation_rmse_increase,0.0007432803611222264,3.0999930542229025e-05,22
B_lms_plus_mastery_oulad,student_group,gradient_boosting,exam_mastery_to_date,2.8849611685070425e-05,8.851521485917495e-06,2.01125086964463e-06,0.1311363648555642,0.12045703825623832,higher values generally align with higher predicted final_grade,0.9702479338842975,0.0,positive_permutation_rmse_increase,2.8849611685070425e-05,1.2032282906777834e-06,23
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cma_mastery_to_date,0.0,0.0,0.0,,,direction unclear,0.0,0.0,positive_permutation_rmse_increase,0.0,0.0,24
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cma_mastery_to_date_was_missing,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,25
B_lms_plus_mastery_oulad,student_group,gradient_boosting,exam_mastery_to_date_was_missing,0.0,0.0,0.0,-0.0007273766246747934,-6.620262766884782e-16,weak or mixed direction in held-out predictions,0.9714285714285714,1.0,positive_permutation_rmse_increase,0.0,0.0,26
B_lms_plus_mastery_oulad,student_group,gradient_boosting,has_due_assessment_to_date,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,27
B_lms_plus_mastery_oulad,student_group,gradient_boosting,has_vle_activity_to_date,0.0,0.0,1.5409670198987662e-07,0.356366953013839,0.32326388797416067,higher values generally align with higher predicted final_grade,0.9213695395513577,1.0,positive_permutation_rmse_increase,0.0,0.0,28
B_lms_plus_mastery_oulad,student_group,gradient_boosting,is_registered_by_week,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,29
B_lms_plus_mastery_oulad,student_group,gradient_boosting,has_assessment_score_to_date,-0.001419044833366693,0.00036496866316023475,1.4194917892438531e-05,0.6519130639263325,0.6000626596235342,higher values generally align with higher predicted final_grade,0.7738488783943329,1.0,positive_permutation_rmse_increase,0.0,0.0,30
B_lms_plus_mastery_oulad,student_group,gradient_boosting,cumulative_assessment_clicks_to_date,-0.01967485710295461,0.006216064390802381,0.0013303679326641302,0.37724143524887954,0.3582211586143512,higher values generally align with higher predicted final_grade,6.97237308146399,3.0,positive_permutation_rmse_increase,0.0,0.0,31
B_lms_plus_mastery_oulad,student_group,gradient_boosting,days_since_registration_start,-0.0227516064146941,0.005859909796680548,0.0015227014275207564,-0.03264158561440524,-0.04308636629783832,weak or mixed direction in held-out predictions,237.08471074380165,233.0,positive_permutation_rmse_increase,0.0,0.0,32
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,overall_mastery_proxy,9.022722356360505,0.07757458110694845,0.5781037575928419,0.9668134587518723,0.955898910597746,higher values generally align with higher predicted final_grade,42.63961489898989,64.0,positive_permutation_rmse_increase,9.022722356360505,0.3398225596576132,1
