cohort_id,institution,module,n_students,pass_rate,auc,auc_ci_low,auc_ci_high,covers_chance,below_chance
ukzn_ISTN211_2019,UKZN,ISTN211,280,0.9321428571428572,0.7341197822141561,0.6369891970476403,0.8304326923076922,False,False
oviedo_C2406_1415,Oviedo,C2406,133,0.37593984962406013,0.7373493975903616,0.6470135160673239,0.8135606808541758,False,False
oulad_AAA_2014J,OULAD,AAA,365,0.6931506849315069,0.751464568040655,0.6989835952671273,0.801886065935786,False,False
oviedo_C1112_1415,Oviedo,C1112,199,0.457286432160804,0.7575295075295075,0.6849684488455676,0.8150930459197772,False,False
oviedo_C2150_1415,Oviedo,C2150,106,0.6132075471698113,0.7575984990619136,0.6566760982562039,0.843983397110364,False,False
ukzn_ISTN101_2021,UKZN,ISTN101,741,0.9149797570850202,0.7943999625415555,0.7491234469407059,0.8409035059771632,False,False
ukzn_ISTN211_2021,UKZN,ISTN211,327,0.9480122324159022,0.802371916508539,0.6794135512067577,0.8973909337742936,False,False
ukzn_ISTN2IP_2018,UKZN,ISTN2IP,99,0.7474747474747475,0.8137837837837838,0.7201673727342176,0.8957654483197961,False,False
oulad_DDD_2013B,OULAD,DDD,1303,0.3914044512663085,0.8224229162030512,0.8005458321757751,0.8457823855171185,False,False
oulad_FFF_2013B,OULAD,FFF,1614,0.48451053283767037,0.8306302872319495,0.809847944623731,0.8488894631137408,False,False
oulad_EEE_2013J,OULAD,EEE,1052,0.5788973384030418,0.8449313717858904,0.8170577743308599,0.8691503298485301,False,False
oulad_DDD_2014J,OULAD,DDD,1803,0.43926788685524126,0.8530757625713116,0.8331367666865472,0.8694532633515359,False,False
oulad_BBB_2014B,OULAD,BBB,1613,0.45071295722256666,0.8534066527769584,0.8357675339795844,0.8693805489324842,False,False
oulad_EEE_2014B,OULAD,EEE,694,0.5144092219020173,0.8568394716937219,0.8269832887533436,0.8836574480687978,False,False
oulad_CCC_2014J,OULAD,CCC,2498,0.4063250600480384,0.8573491358549605,0.8432862471933764,0.8714537276188329,False,False
oulad_DDD_2014B,OULAD,DDD,1228,0.39006514657980457,0.8574592149309727,0.8358761780925446,0.8766650621349177,False,False
oulad_DDD_2013J,OULAD,DDD,1938,0.4277605779153767,0.8592495222225003,0.8442735863752642,0.8763109623266097,False,False
oulad_BBB_2013B,OULAD,BBB,1767,0.45444255800792305,0.8596516951473467,0.8412243052096701,0.8737430576789074,False,False
oulad_BBB_2013J,OULAD,BBB,2237,0.47921323200715243,0.8597867689449746,0.8450486178370621,0.8756307627219163,False,False
oulad_FFF_2014B,OULAD,FFF,1500,0.436,0.8598143087455989,0.8421418335943415,0.8787075571816727,False,False
oulad_EEE_2014J,OULAD,EEE,1188,0.5757575757575758,0.8618769145084935,0.8379890755774151,0.8853770799295887,False,False
oulad_BBB_2014J,OULAD,BBB,2292,0.5026178010471204,0.8686673824317739,0.8532838006791383,0.8838186916444868,False,False
oulad_FFF_2013J,OULAD,FFF,2283,0.47963206307490147,0.8779076918346325,0.8652983873394009,0.8928251893911906,False,False
oulad_CCC_2014B,OULAD,CCC,1936,0.3424586776859504,0.8815922767681004,0.8663757857374719,0.8953749111515746,False,False
oulad_FFF_2014J,OULAD,FFF,2365,0.4723044397463002,0.8971514674150081,0.8846284713654483,0.9091656700575306,False,False
oviedo_C174_1415,Oviedo,C174,96,0.53125,0.9531590413943356,0.910065483079806,0.9917393994600615,False,False
