cohort_id,institution,representation,seed,n_students,floor_tau,floor_jaccard,ceiling_tau,ceiling_jaccard,ceiling_full_tau,ceiling_full_jaccard
oulad_FFF_2014B,OULAD,raw,1,1500,1.0,1.0,0.4285714285714286,0.5,0.7142857142857143,0.5
oulad_FFF_2014B,OULAD,raw,2,1500,0.9047619047619049,1.0,0.14285714285714288,0.5,0.14285714285714288,0.5
oulad_FFF_2014B,OULAD,raw,3,1500,0.9047619047619049,1.0,0.04761904761904762,0.2,0.14285714285714288,0.2
oulad_FFF_2014B,OULAD,raw,4,1500,0.8095238095238096,1.0,0.04761904761904762,0.2,-0.04761904761904762,0.2
oulad_FFF_2014J,OULAD,raw,0,2365,0.7142857142857143,0.5,0.14285714285714288,0.5,0.33333333333333337,0.5
oulad_FFF_2014J,OULAD,raw,1,2365,1.0,1.0,-0.04761904761904762,0.2,0.04761904761904762,0.2
oulad_FFF_2014J,OULAD,raw,2,2365,0.9047619047619049,0.5,-0.33333333333333337,0.0,-0.8095238095238096,0.0
oulad_FFF_2014J,OULAD,raw,3,2365,1.0,1.0,0.33333333333333337,0.5,0.14285714285714288,0.2
oulad_FFF_2014J,OULAD,raw,4,2365,1.0,1.0,0.33333333333333337,0.5,0.4285714285714286,0.5
ku_Accountancy_1819,KU Leuven,raw,0,752,1.0,1.0,0.5238095238095238,0.5,0.9047619047619049,1.0
ku_Accountancy_1819,KU Leuven,raw,1,752,0.23809523809523814,1.0,-0.14285714285714288,0.5,0.6190476190476191,0.5
ku_Accountancy_1819,KU Leuven,raw,2,752,0.9047619047619049,1.0,0.04761904761904762,0.5,0.6190476190476191,0.5
ku_Accountancy_1819,KU Leuven,raw,3,752,0.8095238095238096,0.5,0.4285714285714286,1.0,0.8095238095238096,1.0
ku_Accountancy_1819,KU Leuven,raw,4,752,0.7142857142857143,0.5,-0.5238095238095238,0.2,0.7142857142857143,0.5
ku_Globaleconom_1819,KU Leuven,raw,0,743,0.23809523809523814,0.5,0.6190476190476191,1.0,1.0,1.0
ku_Globaleconom_1819,KU Leuven,raw,1,743,0.7142857142857143,0.5,0.7142857142857143,0.5,0.7142857142857143,0.5
ku_Globaleconom_1819,KU Leuven,raw,2,743,0.8095238095238096,1.0,0.4285714285714286,0.5,0.8095238095238096,1.0
ku_Globaleconom_1819,KU Leuven,raw,3,743,0.7142857142857143,1.0,0.23809523809523814,0.5,0.8095238095238096,1.0
ku_Globaleconom_1819,KU Leuven,raw,4,743,0.7142857142857143,1.0,0.04761904761904762,0.2,0.8095238095238096,1.0
ku_Accountancy_1920,KU Leuven,raw,0,705,0.9047619047619049,1.0,0.23809523809523814,0.2,0.5238095238095238,0.5
ku_Accountancy_1920,KU Leuven,raw,1,705,0.9047619047619049,1.0,0.5238095238095238,0.5,0.7142857142857143,1.0
ku_Accountancy_1920,KU Leuven,raw,2,705,0.9047619047619049,1.0,-0.04761904761904762,0.2,0.6190476190476191,1.0
ku_Accountancy_1920,KU Leuven,raw,3,705,1.0,1.0,-0.14285714285714288,0.5,0.5238095238095238,0.5
ku_Accountancy_1920,KU Leuven,raw,4,705,1.0,1.0,-0.14285714285714288,0.2,0.4285714285714286,0.5
ku_Globaleconom_1920,KU Leuven,raw,0,681,0.8095238095238096,1.0,0.23809523809523814,0.5,0.7142857142857143,0.5
ku_Globaleconom_1920,KU Leuven,raw,1,681,0.4285714285714286,0.5,0.33333333333333337,0.2,0.5238095238095238,0.5
ku_Globaleconom_1920,KU Leuven,raw,2,681,1.0,1.0,0.04761904761904762,0.2,0.6190476190476191,0.5
ku_Globaleconom_1920,KU Leuven,raw,3,681,0.5238095238095238,0.5,-0.5238095238095238,0.2,0.4285714285714286,0.5
ku_Globaleconom_1920,KU Leuven,raw,4,681,0.7142857142857143,0.5,0.6190476190476191,0.5,0.7142857142857143,1.0
ku_Accountancy_2021,KU Leuven,raw,0,723,0.5238095238095238,0.5,-0.04761904761904762,0.2,0.4285714285714286,0.5
ku_Accountancy_2021,KU Leuven,raw,1,723,0.4285714285714286,1.0,0.7142857142857143,0.5,0.8095238095238096,0.5
ku_Accountancy_2021,KU Leuven,raw,2,723,0.5238095238095238,1.0,0.6190476190476191,0.5,0.4285714285714286,0.5
ku_Accountancy_2021,KU Leuven,raw,3,723,0.8095238095238096,0.5,1.0,1.0,0.9047619047619049,1.0
ku_Accountancy_2021,KU Leuven,raw,4,723,0.5238095238095238,0.5,-0.14285714285714288,0.2,0.6190476190476191,0.5
