institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
UKZN,tau_strict,shap,shap,self,0.7899569245294153,0.7638066206160109,0.8211974532885005,0.8265510119785212,2421
UKZN,tau_strict,occlusion,occlusion,self,0.717613736944592,0.6789091614260254,0.7711819596821775,0.6936100784799669,2421
UKZN,tau_strict,lime,lime,self,0.5255246749670542,0.44952200077759186,0.6266598577736302,0.6290912845931433,2421
UKZN,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7371963572707068,0.696231800069473,0.7857407019390326,0.794940107393639,2421
UKZN,tau_strict,shap,occlusion,cross,0.4491925807910938,0.40364669976098555,0.4891096055573306,0.5322924411400247,2421
UKZN,tau_strict,shap,lime,cross,0.3801380775358471,0.3175673572718736,0.43602159712052907,0.5062205700123915,2421
UKZN,tau_strict,shap,kernelshap_prob,cross,0.7005251666961705,0.6252944918429711,0.7656766540026079,0.738124741842214,2421
UKZN,tau_strict,occlusion,lime,cross,0.23654530792077264,0.1623442132724421,0.29702820955661824,0.41844692275919043,2421
UKZN,tau_strict,occlusion,kernelshap_prob,cross,0.4174701520426428,0.36544664774507424,0.4683958088585128,0.5085667079719124,2421
UKZN,tau_strict,lime,kernelshap_prob,cross,0.3962825278810409,0.32597755354221647,0.46870599005097097,0.5315406856670797,2421
UKZN,tau_b,shap,shap,self,0.7899569245294153,0.7638066206160109,0.8211974532885005,,2421
UKZN,tau_b,occlusion,occlusion,self,0.6841870158864999,0.6509934652242917,0.7325800726307804,,2421
UKZN,tau_b,lime,lime,self,0.5255246749670542,0.44952200077759186,0.6266598577736302,,2421
UKZN,tau_b,kernelshap_prob,kernelshap_prob,self,0.7371963572707068,0.696231800069473,0.7857407019390326,,2421
UKZN,tau_b,shap,occlusion,cross,0.44246738328854185,0.3946270370028043,0.4829270109479445,,2421
UKZN,tau_b,shap,lime,cross,0.3801380775358471,0.3175673572718736,0.43602159712052907,,2421
UKZN,tau_b,shap,kernelshap_prob,cross,0.7005251666961705,0.6252944918429711,0.7656766540026079,,2421
UKZN,tau_b,occlusion,lime,cross,0.23561638096172258,0.1779570479617879,0.28443913664339365,,2421
UKZN,tau_b,occlusion,kernelshap_prob,cross,0.4130016466276557,0.3533194976303248,0.4629699333850417,,2421
UKZN,tau_b,lime,kernelshap_prob,cross,0.3962825278810409,0.32597755354221647,0.46870599005097097,,2421
Zambia,tau_strict,shap,shap,self,0.7676190476190476,0.7333333333333334,0.7956709956709958,0.79375,40
Zambia,tau_strict,occlusion,occlusion,self,0.7528571428571429,0.7454545454545456,0.761904761904762,0.716,40
Zambia,tau_strict,lime,lime,self,0.5066666666666666,0.470995670995671,0.5502645502645502,0.60175,40
Zambia,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7623809523809524,0.6931216931216932,0.8190476190476192,0.76475,40
Zambia,tau_strict,shap,occlusion,cross,0.43619047619047624,0.41471861471861476,0.4624338624338625,0.576,40
Zambia,tau_strict,shap,lime,cross,0.45238095238095244,0.3532467532467533,0.5735449735449736,0.5385,40
Zambia,tau_strict,shap,kernelshap_prob,cross,0.760952380952381,0.722943722943723,0.8074074074074075,0.7859999999999999,40
Zambia,tau_strict,occlusion,lime,cross,0.16476190476190478,0.025974025974025972,0.33439153439153446,0.41,40
Zambia,tau_strict,occlusion,kernelshap_prob,cross,0.3828571428571429,0.36103896103896105,0.4095238095238096,0.5495,40
