model,representation,subset,distance,n_pairs,auc,f1_fail,recall_at_flag20,brier
random_forest,percentile,all pairs,D2_other_module,916,0.6770790517570742,0.41959614967251924,0.31407772564899983,0.2165647732915723
random_forest,percentile,all pairs,D3_other_institution,2912,0.6388480730242654,0.3404142194035809,0.2929825043239839,0.28726377209518683
random_forest,percentile,clean pairs,D0_within_cohort,63,0.6923020500253049,0.495256519532759,0.3313553942351409,0.1748552085998279
random_forest,percentile,clean pairs,D1_same_module,10,0.6412863906325432,0.549880635629172,0.318253418193519,0.2049839375798289
random_forest,percentile,clean pairs,D2_other_module,771,0.6761923487854002,0.41290021892209433,0.31407866711325927,0.21740028237020653
random_forest,percentile,clean pairs,D3_other_institution,2909,0.6388109740619555,0.3401840579997548,0.2929710384948697,0.28733432442860246
random_forest,raw,all pairs,D0_within_cohort,63,0.6923160690856471,0.49435405464732,0.32983615694046003,0.17499636635469243
random_forest,raw,all pairs,D1_same_module,78,0.7262371118201143,0.4808014879303485,0.33899546755381654,0.17580363013787542
random_forest,raw,all pairs,D2_other_module,916,0.670485057835021,0.4518570074039371,0.3214678128303891,0.23005890820676853
random_forest,raw,all pairs,D3_other_institution,2912,0.6322235983823693,0.38795348118690015,0.30089327568033847,0.3030601147161876
random_forest,raw,clean pairs,D0_within_cohort,63,0.6923160690856471,0.49435405464732,0.32983615694046003,0.17499636635469243
random_forest,raw,clean pairs,D1_same_module,10,0.6715372510388495,0.5591794632017949,0.2800116457407042,0.21839479023659653
random_forest,raw,clean pairs,D2_other_module,771,0.6722466291096253,0.4529950388243778,0.32215225428681477,0.2313478651245543
random_forest,raw,clean pairs,D3_other_institution,2909,0.6322260790038575,0.38779079522361776,0.3009182088947722,0.3030906136319542
random_forest,zscore,all pairs,D0_within_cohort,63,0.6923345719573183,0.4920641193210442,0.32801590421006466,0.175020719125417
random_forest,zscore,all pairs,D1_same_module,78,0.7190906676433235,0.46000387780650437,0.3355597293860561,0.16822772542154263
random_forest,zscore,all pairs,D2_other_module,916,0.6791636816559191,0.42231093752207843,0.31464225345403013,0.21306105946538154
random_forest,zscore,all pairs,D3_other_institution,2912,0.6403446072725495,0.3386586556888427,0.2932110185977969,0.28978663235102897
random_forest,zscore,clean pairs,D0_within_cohort,63,0.6923345719573183,0.4920641193210442,0.32801590421006466,0.175020719125417
