regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.55,Zambia,40,25,0.625,0.5954285714285714,0.6568,0.5833333333333334,0.012095238095238048
global,0.55,ALL,11875,11120,0.9364210526315789,0.6565508687248056,0.7113830935251799,0.6413160558196395,0.01523481290516615
global,0.6,KU Leuven,1314,1126,0.8569254185692542,0.5905362415322526,0.5971758436944937,0.5697034998271973,0.020832741705055335
global,0.6,OULAD,6829,6407,0.9382047151852394,0.7114108824425667,0.7696862806305603,0.6966705001503481,0.014740382292218523
global,0.6,Oviedo,1271,1129,0.8882769472856019,0.5929645555536347,0.6488928255093003,0.5742841287560094,0.01868042679762527
global,0.6,UKZN,2421,2167,0.8950846757538208,0.5814128729448872,0.6459713890170743,0.5601926714482993,0.021220201496587876
global,0.6,Zambia,40,22,0.55,0.5956709956709957,0.6536363636363636,0.5833333333333334,0.012337662337662314
global,0.6,ALL,11875,10851,0.9137684210526316,0.6603480575588635,0.7142751820108746,0.6413160558196395,0.019032001739224036
global,0.65,KU Leuven,1314,1030,0.7838660578386606,0.5989914569321243,0.6007184466019417,0.5697034998271973,0.029287957104927043
global,0.65,OULAD,6829,6163,0.9024747400790746,0.7182046467783934,0.7757618043160799,0.6966705001503481,0.021534146628045203
global,0.65,Oviedo,1271,1074,0.8450039339103068,0.5973040989456914,0.6524208566108007,0.5742841287560094,0.023019970189681938
global,0.65,UKZN,2421,2033,0.8397356464270962,0.5881984308692991,0.6510378750614855,0.5601926714482993,0.02800575942099981
global,0.65,Zambia,40,16,0.4,0.5880952380952381,0.63375,0.5833333333333334,0.004761904761904745
global,0.65,ALL,11875,10316,0.8687157894736842,0.6678923977093649,0.7206436603334626,0.6413160558196395,0.026576341889725463
global,0.7,KU Leuven,1314,919,0.6993911719939118,0.6069163621954686,0.6045484221980414,0.5697034998271973,0.03721286236827137
global,0.7,OULAD,6829,5783,0.8468296968809489,0.7277241174872162,0.7839979249524468,0.6966705001503481,0.031053617336868067
global,0.7,Oviedo,1271,966,0.7600314712824547,0.6027633130566069,0.6543478260869565,0.5742841287560094,0.028479184300597482
global,0.7,UKZN,2421,1815,0.7496902106567535,0.5988286923547943,0.6585123966942149,0.5601926714482993,0.03863602090649498
global,0.7,Zambia,40,12,0.3,0.5857142857142857,0.645,0.5833333333333334,0.0023809523809523725
global,0.7,ALL,11875,9495,0.7995789473684211,0.6784999175093641,0.7292764612954186,0.6413160558196395,0.03718386168972465
global,0.75,KU Leuven,1314,844,0.6423135464231354,0.6165471289436685,0.6107345971563981,0.5697034998271973,0.04684362911647122
global,0.75,OULAD,6829,5464,0.8001171474593645,0.7350728578400615,0.7899816983894583,0.6966705001503481,0.03840235768971334
global,0.75,Oviedo,1271,821,0.6459480723839497,0.609745806305044,0.6523995127892813,0.5742841287560094,0.03546167754903462
global,0.75,UKZN,2421,1621,0.6695580338703015,0.6064242079518379,0.6646267735965453,0.5601926714482993,0.04623153650353862
global,0.75,Zambia,40,10,0.25,0.5847619047619048,0.6439999999999999,0.5833333333333334,0.0014285714285714457
global,0.75,ALL,11875,8760,0.7376842105263158,0.6879299588105642,0.7364543378995433,0.6413160558196395,0.046613902990924716
