institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
Zambia,tau_b,shap,occlusion,cross,0.5675008915746084,0.5376130958826315,0.6040304196425802,,40
Zambia,tau_b,shap,lime,cross,0.5114285714285715,0.4658008658008658,0.5671957671957673,,40
Zambia,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,40
Zambia,tau_b,occlusion,lime,cross,0.3535241682506906,0.29985587371097994,0.41911875046589264,,40
Zambia,tau_b,occlusion,kernelshap_prob,cross,0.5675008915746084,0.5376130958826315,0.6040304196425802,,40
Zambia,tau_b,lime,kernelshap_prob,cross,0.5114285714285715,0.4658008658008658,0.5671957671957673,,40
Oviedo,tau_strict,shap,shap,self,0.7938630999213218,0.7713569653762831,0.8217995783108566,0.824744295830055,1271
Oviedo,tau_strict,occlusion,occlusion,self,0.7221535348994044,0.6639366729354057,0.766460144865961,0.7256963021243116,1271
Oviedo,tau_strict,lime,lime,self,0.5873365553932036,0.5160268073000417,0.6696442518846561,0.6725019669551534,1271
Oviedo,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7938630999213218,0.7713569653762831,0.8217995783108566,0.824744295830055,1271
Oviedo,tau_strict,shap,occlusion,cross,0.41875538571053916,0.3709087281209414,0.4597959110675396,0.5280251770259639,1271
Oviedo,tau_strict,shap,lime,cross,0.40862463002510213,0.34004343978401397,0.4924739980694714,0.5463886703383162,1271
Oviedo,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,1271
Oviedo,tau_strict,occlusion,lime,cross,0.20179835899741488,0.14304095545039358,0.25699176930816836,0.4243430369787569,1271
Oviedo,tau_strict,occlusion,kernelshap_prob,cross,0.41875538571053916,0.3709087281209414,0.4597959110675396,0.5280251770259639,1271
Oviedo,tau_strict,lime,kernelshap_prob,cross,0.40862463002510213,0.34004343978401397,0.4924739980694714,0.5463886703383162,1271
Oviedo,tau_b,shap,shap,self,0.7938630999213218,0.7713569653762831,0.8217995783108566,,1271
Oviedo,tau_b,occlusion,occlusion,self,0.7159925074314403,0.6634568225295576,0.7556460737989225,,1271
Oviedo,tau_b,lime,lime,self,0.5873365553932036,0.5160268073000417,0.6696442518846561,,1271
Oviedo,tau_b,kernelshap_prob,kernelshap_prob,self,0.7938630999213218,0.7713569653762831,0.8217995783108566,,1271
Oviedo,tau_b,shap,occlusion,cross,0.42658547377259576,0.38276107475057186,0.46696290422243353,,1271
Oviedo,tau_b,shap,lime,cross,0.40862463002510213,0.34004343978401397,0.4924739980694714,,1271
Oviedo,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,1271
Oviedo,tau_b,occlusion,lime,cross,0.210854556261118,0.1514250134803163,0.26683014591516935,,1271
Oviedo,tau_b,occlusion,kernelshap_prob,cross,0.42658547377259576,0.38276107475057186,0.46696290422243353,,1271
Oviedo,tau_b,lime,kernelshap_prob,cross,0.40862463002510213,0.34004343978401397,0.4924739980694714,,1271
