regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.25,Zambia,40,19,0.475,0.5368421052631579,0.5263157894736842,0.4333333333333334,0.1035087719298245
global,0.25,ALL,11875,9909,0.8344421052631579,0.38080917299809214,0.5272055706933091,0.3541774436090226,0.026631729389069547
global,0.3,KU Leuven,1314,1294,0.984779299847793,0.5851328475748878,0.6311901081916538,0.5834601725012685,0.0016726750736193452
global,0.3,OULAD,6829,4809,0.7042026651047005,0.2708869282793176,0.4862008733624454,0.24038240277806833,0.03050452550124927
global,0.3,Oviedo,1271,987,0.7765538945712038,0.5290008201862305,0.5827152988855117,0.5002360346184107,0.028764785567819806
global,0.3,UKZN,2421,1925,0.795125980999587,0.5053160173160173,0.566638961038961,0.4727326370449047,0.03258338027111257
global,0.3,Zambia,40,17,0.425,0.5215686274509804,0.5094117647058823,0.4333333333333334,0.08823529411764702
global,0.3,ALL,11875,9032,0.7605894736842105,0.39455059260196557,0.5347077059344553,0.3541774436090226,0.040373148992942975
global,0.35,KU Leuven,1314,1278,0.9726027397260274,0.5864371413667189,0.6323787167449139,0.5834601725012685,0.0029769688654504023
global,0.35,OULAD,6829,4325,0.6333284521891931,0.2813212221304707,0.49316531791907514,0.24038240277806833,0.0409388193524024
global,0.35,Oviedo,1271,920,0.7238394964594808,0.5336024844720497,0.5847173913043477,0.5002360346184107,0.03336644985363901
global,0.35,UKZN,2421,1786,0.7377116893845518,0.5123446915160241,0.5693393057110863,0.4727326370449047,0.03961205447111943
global,0.35,Zambia,40,15,0.375,0.5174603174603175,0.49733333333333335,0.4333333333333334,0.0841269841269841
global,0.35,ALL,11875,8324,0.7009684210526316,0.40604333996933706,0.541009130225853,0.3541774436090226,0.05186589636031447
global,0.4,KU Leuven,1314,1213,0.9231354642313546,0.5918030856200683,0.6368013190436933,0.5834601725012685,0.008342913118799866
global,0.4,OULAD,6829,3525,0.5161809928247181,0.3036082404593043,0.5069900709219858,0.24038240277806833,0.06322583768123596
global,0.4,Oviedo,1271,798,0.6278520849724626,0.5426423200859292,0.5936090225563909,0.5002360346184107,0.042406285467518456
global,0.4,UKZN,2421,1532,0.6327963651383726,0.5237349247793113,0.5771932114882506,0.4727326370449047,0.05100228773440657
global,0.4,Zambia,40,9,0.225,0.5851851851851853,0.5844444444444444,0.4333333333333334,0.15185185185185185
global,0.4,ALL,11875,7077,0.5959578947368421,0.4279685365738779,0.5543026706231454,0.3541774436090226,0.07379109296485531
