source,target,target_institution,distance,representation,rule,f1_fail,f1_fail_baseline,alert_rate,recall,precision,calibration_in_large
oviedo_C2150_1415,oviedo_C3029_1415,Oviedo,D2_other_module,raw,fixed_0.5,0.4982698961937716,0.49511400651465803,0.922077922077922,0.9473684210526315,0.3380281690140845,0.5784653832958224
oviedo_C2150_1415,oviedo_C3029_1415,Oviedo,D2_other_module,raw,source_rate,0.4484848484848485,0.49511400651465803,0.3852813852813853,0.4868421052631579,0.4157303370786517,0.5784653832958224
oviedo_C2150_1415,oviedo_C3029_1415,Oviedo,D2_other_module,percentile,fixed_0.5,0.36809815950920244,0.49511400651465803,0.37662337662337664,0.39473684210526316,0.3448275862068966,0.06211792238256525
oviedo_C2150_1415,oviedo_C3029_1415,Oviedo,D2_other_module,percentile,source_rate,0.37575757575757573,0.49511400651465803,0.3852813852813853,0.40789473684210525,0.34831460674157305,0.06211792238256525
oviedo_C2150_1415,oviedo_C4189_1415,Oviedo,D2_other_module,raw,fixed_0.5,0.6382978723404256,0.6382978723404256,1.0,1.0,0.46875,0.5175748290618805
oviedo_C2150_1415,oviedo_C4189_1415,Oviedo,D2_other_module,raw,source_rate,0.5272727272727272,0.6382978723404256,0.390625,0.48333333333333334,0.58,0.5175748290618805
oviedo_C2150_1415,oviedo_C4189_1415,Oviedo,D2_other_module,percentile,fixed_0.5,0.5903614457831325,0.6382978723404256,0.828125,0.8166666666666667,0.46226415094339623,0.31803810823394496
oviedo_C2150_1415,oviedo_C4189_1415,Oviedo,D2_other_module,percentile,source_rate,0.509090909090909,0.6382978723404256,0.390625,0.4666666666666667,0.56,0.31803810823394496
oviedo_C2150_1415,oviedo_C4213_1415,Oviedo,D2_other_module,raw,fixed_0.5,0.453781512605042,0.592964824120603,0.42857142857142855,0.4576271186440678,0.45,0.01954708290746715
oviedo_C2150_1415,oviedo_C4213_1415,Oviedo,D2_other_module,raw,source_rate,0.46017699115044247,0.592964824120603,0.38571428571428573,0.4406779661016949,0.48148148148148145,0.01954708290746715
oviedo_C2150_1415,oviedo_C4213_1415,Oviedo,D2_other_module,percentile,fixed_0.5,0.5321100917431193,0.592964824120603,0.35714285714285715,0.4915254237288136,0.58,-0.052445841294707085
oviedo_C2150_1415,oviedo_C4213_1415,Oviedo,D2_other_module,percentile,source_rate,0.5132743362831859,0.592964824120603,0.38571428571428573,0.4915254237288136,0.5370370370370371,-0.052445841294707085
oviedo_C2150_1415,oviedo_C836_1415,Oviedo,D2_other_module,raw,fixed_0.5,0.6290322580645161,0.6717557251908397,0.9195402298850575,0.8863636363636364,0.4875,0.39397855593271325
oviedo_C2150_1415,oviedo_C836_1415,Oviedo,D2_other_module,raw,source_rate,0.41025641025641024,0.6717557251908397,0.39080459770114945,0.36363636363636365,0.47058823529411764,0.39397855593271325
oviedo_C2150_1415,oviedo_C836_1415,Oviedo,D2_other_module,percentile,fixed_0.5,0.44155844155844154,0.6717557251908397,0.3793103448275862,0.38636363636363635,0.5151515151515151,-0.13912202521057476
oviedo_C2150_1415,oviedo_C836_1415,Oviedo,D2_other_module,percentile,source_rate,0.46153846153846156,0.6717557251908397,0.39080459770114945,0.4090909090909091,0.5294117647058824,-0.13912202521057476
oviedo_C2271_1415,oulad_AAA_2013J,OULAD,D3_other_institution,raw,fixed_0.5,0.3826086956521739,0.430327868852459,0.3263707571801567,0.41904761904761906,0.352,0.15997566431118249
oviedo_C2271_1415,oulad_AAA_2013J,OULAD,D3_other_institution,raw,source_rate,0.4166666666666667,0.430327868852459,0.4151436031331593,0.5238095238095238,0.34591194968553457,0.15997566431118249
oviedo_C2271_1415,oulad_AAA_2013J,OULAD,D3_other_institution,percentile,fixed_0.5,0.48905109489051096,0.430327868852459,0.4412532637075718,0.638095238095238,0.39644970414201186,0.1728453161879136
oviedo_C2271_1415,oulad_AAA_2013J,OULAD,D3_other_institution,percentile,source_rate,0.49242424242424243,0.430327868852459,0.4151436031331593,0.6190476190476191,0.4088050314465409,0.1728453161879136
oviedo_C2271_1415,oulad_AAA_2014J,OULAD,D3_other_institution,raw,fixed_0.5,0.42105263157894735,0.469601677148847,0.3178082191780822,0.42857142857142855,0.41379310344827586,0.12877010139447675
oviedo_C2271_1415,oulad_AAA_2014J,OULAD,D3_other_institution,raw,source_rate,0.42585551330798477,0.469601677148847,0.4136986301369863,0.5,0.3708609271523179,0.12877010139447675
oviedo_C2271_1415,oulad_AAA_2014J,OULAD,D3_other_institution,percentile,fixed_0.5,0.460093896713615,0.469601677148847,0.27671232876712326,0.4375,0.48514851485148514,0.10870025352765328
oviedo_C2271_1415,oulad_AAA_2014J,OULAD,D3_other_institution,percentile,source_rate,0.5019011406844106,0.469601677148847,0.4136986301369863,0.5892857142857143,0.4370860927152318,0.10870025352765328
oviedo_C2271_1415,oulad_BBB_2013B,OULAD,D3_other_institution,raw,fixed_0.5,0.6980392156862745,0.7059685097034054,0.6089417091114884,0.7385892116182573,0.6617100371747212,0.05936602790208212
oviedo_C2271_1415,oulad_BBB_2013B,OULAD,D3_other_institution,raw,source_rate,0.6426886792452831,0.7059685097034054,0.4142614601018676,0.5653526970954357,0.744535519125683,0.05936602790208212
oviedo_C2271_1415,oulad_BBB_2013B,OULAD,D3_other_institution,percentile,fixed_0.5,0.5248425472358292,0.7059685097034054,0.2631578947368421,0.38900414937759337,0.8064516129032258,-0.13052378221264588
oviedo_C2271_1415,oulad_BBB_2013B,OULAD,D3_other_institution,percentile,source_rate,0.6591981132075472,0.7059685097034054,0.4142614601018676,0.5798755186721992,0.7636612021857924,-0.13052378221264588
