source,target,d_prevalence,d_scale,d_length,d_shape
oulad_AAA_2014J,oviedo_C1200_1415,0.2912815260530022,0.42571616205178464,4,0.47433472941090404
oulad_AAA_2014J,oviedo_C1303_1415,0.3181506849315069,1.0022797662948986,15,0.6861685770198491
oulad_AAA_2014J,oviedo_C174_1415,0.1619006849315069,0.2846676519028216,3,0.4034246575342465
oulad_AAA_2014J,oviedo_C190_1415,0.23779354207436404,0.5594975350129673,5,0.49770408163265306
oulad_AAA_2014J,oviedo_C1978_1415,0.026361510190444304,0.9519746479835028,3,0.5092692472912986
oulad_AAA_2014J,oviedo_C2011_1415,0.09018264840182644,0.9836376562388404,3,0.5084964122635356
oulad_AAA_2014J,oviedo_C2024_1415,0.1478279083406644,0.8136719498172214,13,0.6377493312267725
oulad_AAA_2014J,oviedo_C2150_1415,0.07994313776169559,0.4030864156185393,2,0.46474171989809104
oulad_AAA_2014J,oviedo_C2271_1415,0.10758021513284921,0.9519746479835028,16,0.6532184557191452
oulad_AAA_2014J,oviedo_C2335_1415,0.37072077838945083,2.2810333672477277,5,0.7760008778828391
oulad_AAA_2014J,oviedo_C2406_1415,0.31721083530744676,0.486313015430891,2,0.47067374895163544
oulad_AAA_2014J,oviedo_C2468_1415,0.1931506849315069,0.8859983492190971,17,0.6621975084721494
oulad_AAA_2014J,oviedo_C2607_1415,0.42961277879432275,2.457124626303409,3,0.7871745780553455
oulad_AAA_2014J,oviedo_C3022_1415,0.021135029354207413,2.1560946306394277,6,0.7285418276899801
oulad_AAA_2014J,oviedo_C3029_1415,0.022155013935835854,0.9256457092611536,6,0.6122838674697775
oulad_AAA_2014J,oviedo_C4189_1415,0.1619006849315069,2.75815462196739,4,0.8908604452054795
oulad_AAA_2014J,oviedo_C4213_1415,0.11457925636007826,0.3040723512363,2,0.4204500978473581
oulad_AAA_2014J,oviedo_C836_1415,0.1988978113682885,1.0022797662948986,4,0.5100794025687744
oulad_BBB_2013B,oulad_AAA_2013J,0.2714060059607453,0.40387737995076395,4,0.27991734579436883
oulad_BBB_2013B,oulad_AAA_2014J,0.23870812692358384,0.3654576687077242,4,0.23616176986877271
oulad_BBB_2013B,oulad_BBB_2013J,0.024770673999229387,0.20517623242320268,4,0.128340665064828
oulad_BBB_2013B,oulad_BBB_2014B,0.0037296007853563906,0.2957869402516093,1,0.16865384066930922
oulad_BBB_2013B,oulad_BBB_2014J,0.048175243039197346,0.08627192570897833,3,0.17016098344154593
oulad_BBB_2013B,oulad_CCC_2014B,0.11198388032197265,0.08730998969748492,0,0.14573423695201745
oulad_BBB_2013B,oulad_CCC_2014J,0.048117497959884625,0.1538457102184653,4,0.17748932754417618
oulad_BBB_2013B,oulad_DDD_2013B,0.06303810674161453,0.2643588995974382,0,0.22575172613284997
oulad_BBB_2013B,oulad_DDD_2013J,0.026681980092546354,0.16300194145923566,3,0.1794762047433574
oulad_BBB_2013B,oulad_DDD_2014B,0.06437741142811848,0.13878196378258942,0,0.13340038127260992
oulad_BBB_2013B,oulad_DDD_2014J,0.015174671152681785,0.03381430810490947,3,0.13750696315691274
oulad_BBB_2013B,oulad_EEE_2013J,0.12445478039511876,0.38472986912964563,4,0.23631667479750523
oulad_BBB_2013B,oulad_EEE_2014B,0.059966663894094274,0.29838453886330274,0,0.20166841292130575
oulad_BBB_2013B,oulad_EEE_2014J,0.12131501774965275,0.34090150770167343,4,0.23567798610243434
oulad_BBB_2013B,oulad_FFF_2013B,0.030067974829747324,0.6053443111037626,0,0.3048044622889518
oulad_BBB_2013B,oulad_FFF_2013J,0.025189505066978424,0.47829186050090955,4,0.23634931931583864
oulad_BBB_2013B,oulad_FFF_2014B,0.01844255800792305,0.4245377771658324,0,0.20428393564556552
oulad_BBB_2013B,oulad_FFF_2014J,0.01786188173837716,0.4461521374775896,4,0.2251247364130848
oulad_BBB_2013B,ku_Accountancy_1819,0.24768510156654505,0.2804271848423951,22,0.48708389453386386
oulad_BBB_2013B,ku_Globaleconom_1819,0.10814156043083872,0.6003052637614119,20,0.4929318477020058
oulad_BBB_2013B,ku_Accountancy_1920,0.22782694553817623,0.20800552244206694,22,0.5180593900674817
oulad_BBB_2013B,ku_Globaleconom_1920,0.3003298355309903,0.03218468337140124,20,0.46007088205094243
oulad_BBB_2013B,ku_Accountancy_2021,0.2468022552700852,0.3781550583824784,22,0.5942157629383323
oulad_BBB_2013B,ku_Globaleconom_2021,0.05899027781297245,0.06518494347432657,20,0.4687262209447547
oulad_BBB_2013B,ukzn_ISTN101_2019,0.37131501774965275,0.18857697060374093,2,0.3888333829441639
oulad_BBB_2013B,ukzn_ISTN101_2020,0.4954551925033244,0.11394335230683679,0,0.34198746420771897
oulad_BBB_2013B,ukzn_ISTN101_2021,0.46053719907709717,0.3131667590242535,11,0.44331672854593057
oulad_BBB_2013B,ukzn_ISTN102_2018,0.28096600230336105,0.7205990953239483,16,0.5124352238698918
oulad_BBB_2013B,ukzn_ISTN103_2019,0.2760156630163357,0.7205990953239483,16,0.49769716003773457
oulad_BBB_2013B,ukzn_ISTN103_2020,0.4392727839514115,0.6980917543260969,21,0.4687633609095782
oulad_BBB_2013B,ukzn_ISTN211_2019,0.4777002991349341,0.2151604533298036,2,0.41852644283519863
oulad_BBB_2013B,ukzn_ISTN211_2021,0.4935696744079791,0.3715076541897277,16,0.4769351612235679
oulad_BBB_2013B,ukzn_ISTN212_2018,0.360683492412245,0.6145457028760221,17,0.4920694933321376
oulad_BBB_2013B,ukzn_ISTN212_2019,0.3864665329011679,0.5666221505588394,16,0.5026569355941172
oulad_BBB_2013B,ukzn_ISTN2IP_2018,0.29303218946682447,0.6292689596967285,15,0.48263375937399705
oulad_BBB_2013B,ukzn_ISTN2IP_2019,0.30417813164724933,0.3473739744730083,2,0.4497771124139604
oulad_BBB_2013B,ukzn_ISTN3ND_2018,0.14972410865874358,0.7205990953239483,17,0.5114921039157032
oulad_BBB_2013B,ukzn_ISTN3ND_2019,0.3482480249517182,0.21372000596649626,16,0.4765765853952108
oulad_BBB_2013B,ukzn_ISTN3SA_2018,0.33279148454526847,0.2821072429604168,1,0.3945347239065405
oulad_BBB_2013B,ukzn_ISTN3SA_2019,0.41735231378694876,0.21085336531489318,0,0.3675155631013017
oulad_BBB_2013B,zambia_ICT1110_2020,0.20828871185407688,0.3970617586621158,8,0.3470102054142802
oulad_BBB_2013B,zambia_ICT1110_2021,0.06982717339253841,0.24656891758142768,1,0.40761177136389365
oulad_BBB_2013B,oviedo_C1112_1415,0.002843874152880954,0.36331317557445614,11,0.4318337584925192
oulad_BBB_2013B,oviedo_C1127_1415,0.17763291369019013,0.3434789305894841,9,0.44885341778060484
oulad_BBB_2013B,oviedo_C1200_1415,0.052573399129418386,0.0602584933440604,8,0.3990697273784401
oulad_BBB_2013B,oviedo_C1303_1415,0.07944255800792305,0.6368220975871743,11,0.5320407874525023
oulad_BBB_2013B,oviedo_C174_1415,0.07680744199207695,0.08079001680490261,7,0.33705230818982945
oulad_BBB_2013B,oviedo_C190_1415,0.0009145848492198017,0.19403986630524309,9,0.4262730559116686
oulad_BBB_2013B,oviedo_C1978_1415,0.26506963711402814,0.5865169792757785,7,0.41106799256205034
oulad_BBB_2013B,oviedo_C2011_1415,0.3288907753254103,0.6181799875311162,7,0.3979383943730293
oulad_BBB_2013B,oviedo_C2024_1415,0.38653603526424823,0.44821428110949707,9,0.4962888131841886
oulad_BBB_2013B,oviedo_C2150_1415,0.15876498916188825,0.03762874691081506,6,0.41566713497071955
oulad_BBB_2013B,oviedo_C2271_1415,0.13112791179073463,0.5865169792757785,12,0.5155675777449686
oulad_BBB_2013B,oviedo_C2335_1415,0.132012651465867,1.9155756985400032,9,0.6449208263347546
oulad_BBB_2013B,oviedo_C2406_1415,0.07850270838386292,0.12085534672316675,6,0.3753392698335701
oulad_BBB_2013B,oviedo_C2468_1415,0.04555744199207695,0.5205406805113729,13,0.515501972870808
oulad_BBB_2013B,oviedo_C2607_1415,0.1909046518707389,2.0916669575956846,1,0.6578978014501725
oulad_BBB_2013B,oviedo_C3022_1415,0.25984315627779125,1.7906369619317033,2,0.6152977319960241
oulad_BBB_2013B,oviedo_C3029_1415,0.216553112987748,0.5601880405534294,10,0.4972433177623573
oulad_BBB_2013B,oviedo_C4189_1415,0.07680744199207695,2.392696953259666,8,0.8036358537472715
oulad_BBB_2013B,oviedo_C4213_1415,0.12412887056350558,0.06138531747142427,6,0.40786817273598747
oulad_BBB_2013B,oviedo_C836_1415,0.03981031555529535,0.6368220975871743,8,0.41033339745358954
oulad_BBB_2013J,oulad_AAA_2013J,0.24663533196151594,0.6090536123739666,0,0.3581742212496522
oulad_BBB_2013J,oulad_AAA_2014J,0.21393745292435445,0.5706339011309269,0,0.30528480710904576
oulad_BBB_2013J,oulad_BBB_2013B,0.024770673999229387,0.20517623242320265,4,0.128340665064828
oulad_BBB_2013J,oulad_BBB_2014B,0.028500274784585777,0.09061070782840665,5,0.10190938961952083
oulad_BBB_2013J,oulad_BBB_2014J,0.02340456903996796,0.11890430671422428,1,0.12510583601845038
oulad_BBB_2013J,oulad_CCC_2014B,0.13675455432120204,0.29248622212068753,4,0.15575608302779434
oulad_BBB_2013J,oulad_CCC_2014J,0.07288817195911401,0.3590219426416679,0,0.15929788341817205
oulad_BBB_2013J,oulad_DDD_2013B,0.08780878074084392,0.4695351320206408,4,0.31278832731962974
oulad_BBB_2013J,oulad_DDD_2013J,0.05145265409177574,0.36817817388243834,1,0.24527927539272068
oulad_BBB_2013J,oulad_DDD_2014B,0.08914808542734787,0.34395819620579204,4,0.19866680201601183
