institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
UKZN,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7486910170925042,0.7140536529150373,0.7890196686231264,0.792474184221396,2421
UKZN,tau_strict,shap,occlusion,cross,0.6004484569540331,0.5387281458573324,0.6574021528748369,0.7322263527467988,2421
UKZN,tau_strict,shap,lime,cross,0.5703703703703704,0.4943556244428117,0.6371121854603924,0.6023048327137546,2421
UKZN,tau_strict,shap,kernelshap_prob,cross,0.7925060482681301,0.7644595774401958,0.8151503034088065,0.7972655927302766,2421
UKZN,tau_strict,occlusion,lime,cross,0.3237033103204108,0.19872110036960847,0.44622380995189714,0.5123420074349443,2421
UKZN,tau_strict,occlusion,kernelshap_prob,cross,0.5590409315316378,0.50213898615587,0.6103071967402677,0.7127633209417596,2421
UKZN,tau_strict,lime,kernelshap_prob,cross,0.5931000570405776,0.5367601280389219,0.6421814932224048,0.6082610491532424,2421
UKZN,tau_b,shap,shap,self,0.7571716891599054,0.6931870733706138,0.8189189948544641,,2421
UKZN,tau_b,occlusion,occlusion,self,0.8405942185684453,0.8075810122240852,0.871819902262586,,2421
UKZN,tau_b,lime,lime,self,0.6418795853740092,0.6007137215393098,0.6898112714676057,,2421
UKZN,tau_b,kernelshap_prob,kernelshap_prob,self,0.7486910170925042,0.7140536529150373,0.7890196686231264,,2421
UKZN,tau_b,shap,occlusion,cross,0.609406949972998,0.5465574901258133,0.6624351807641015,,2421
UKZN,tau_b,shap,lime,cross,0.5703084052460929,0.4943556244428117,0.6369552907281427,,2421
UKZN,tau_b,shap,kernelshap_prob,cross,0.792441168754687,0.7642892043375729,0.8151120777754826,,2421
UKZN,tau_b,occlusion,lime,cross,0.33695210950230964,0.22483900918182848,0.4509003063542744,,2421
UKZN,tau_b,occlusion,kernelshap_prob,cross,0.5788131889690598,0.536644222562623,0.6145129516001545,,2421
