feature_set,n_features,source,target,distance,model,auc
S_shared7,7,oulad_DDD_2013J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8886730855312995
S_shared7,7,oulad_DDD_2014B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8426685716943205
S_shared7,7,oulad_DDD_2014B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8182491512395105
S_shared7,7,oulad_DDD_2014B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8217333051813166
S_shared7,7,oulad_DDD_2014B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8117115162037037
S_shared7,7,oulad_DDD_2014B,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.8189241648740202
S_shared7,7,oulad_DDD_2014B,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8429920346849606
S_shared7,7,oulad_DDD_2014B,oulad_DDD_2014B,D0_within_cohort,gradient_boosting,0.8574592149309727
S_shared7,7,oulad_DDD_2014B,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.8398050734845987
S_shared7,7,oulad_DDD_2014B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8177518812709029
S_shared7,7,oulad_DDD_2014B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8475051120028289
S_shared7,7,oulad_DDD_2014B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8410861329805307
S_shared7,7,oulad_DDD_2014B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8778823198585957
S_shared7,7,oulad_DDD_2014J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8444370953323377
S_shared7,7,oulad_DDD_2014J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8466045576836845
S_shared7,7,oulad_DDD_2014J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8419623922176235
S_shared7,7,oulad_DDD_2014J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8266359801413256
S_shared7,7,oulad_DDD_2014J,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.8088247657196548
S_shared7,7,oulad_DDD_2014J,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8462595215589961
S_shared7,7,oulad_DDD_2014J,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.8487266250616687
S_shared7,7,oulad_DDD_2014J,oulad_DDD_2014J,D0_within_cohort,gradient_boosting,0.8530757625713116
S_shared7,7,oulad_DDD_2014J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7684561282707062
S_shared7,7,oulad_DDD_2014J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8258271451193826
S_shared7,7,oulad_DDD_2014J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8018739020105408
S_shared7,7,oulad_DDD_2014J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8493930485733308
S_shared7,7,oulad_FFF_2013B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8572798840447905
S_shared7,7,oulad_FFF_2013B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.844771315098328
S_shared7,7,oulad_FFF_2013B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8508077662306208
S_shared7,7,oulad_FFF_2013B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8528242263645226
S_shared7,7,oulad_FFF_2013B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.821215043394407
S_shared7,7,oulad_FFF_2013B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8437882398753046
S_shared7,7,oulad_FFF_2013B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8409556513765049
S_shared7,7,oulad_FFF_2013B,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.82119601055061
S_shared7,7,oulad_FFF_2013B,oulad_FFF_2013B,D0_within_cohort,gradient_boosting,0.8306302872319495
S_shared7,7,oulad_FFF_2013B,oulad_FFF_2013J,D1_same_module,gradient_boosting,0.868329028488846
S_shared7,7,oulad_FFF_2013B,oulad_FFF_2014B,D1_same_module,gradient_boosting,0.8614319228461333
S_shared7,7,oulad_FFF_2013B,oulad_FFF_2014J,D1_same_module,gradient_boosting,0.9008035058421138
S_shared7,7,oulad_FFF_2013J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8487305126522429
S_shared7,7,oulad_FFF_2013J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8485975433988855
S_shared7,7,oulad_FFF_2013J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8420019809911786
S_shared7,7,oulad_FFF_2013J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8510747898391813
S_shared7,7,oulad_FFF_2013J,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.818361644784017
S_shared7,7,oulad_FFF_2013J,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.842281758743301
S_shared7,7,oulad_FFF_2013J,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8357169336429087
S_shared7,7,oulad_FFF_2013J,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8389970426320574
S_shared7,7,oulad_FFF_2013J,oulad_FFF_2013B,D1_same_module,gradient_boosting,0.8410210813004131
S_shared7,7,oulad_FFF_2013J,oulad_FFF_2013J,D0_within_cohort,gradient_boosting,0.8779076918346325
S_shared7,7,oulad_FFF_2013J,oulad_FFF_2014B,D1_same_module,gradient_boosting,0.8623699582854376
S_shared7,7,oulad_FFF_2013J,oulad_FFF_2014J,D1_same_module,gradient_boosting,0.9001600412046922
S_shared7,7,oulad_FFF_2014B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8369657611756742
S_shared7,7,oulad_FFF_2014B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.847732368201909
S_shared7,7,oulad_FFF_2014B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8371542968568066
S_shared7,7,oulad_FFF_2014B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8594720851608189
S_shared7,7,oulad_FFF_2014B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8319696857305343
S_shared7,7,oulad_FFF_2014B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8508958939959385
S_shared7,7,oulad_FFF_2014B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.850511886412224
S_shared7,7,oulad_FFF_2014B,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8493927904165293
S_shared7,7,oulad_FFF_2014B,oulad_FFF_2013B,D1_same_module,gradient_boosting,0.835759209620303
S_shared7,7,oulad_FFF_2014B,oulad_FFF_2013J,D1_same_module,gradient_boosting,0.8727276570883877
S_shared7,7,oulad_FFF_2014B,oulad_FFF_2014B,D0_within_cohort,gradient_boosting,0.8598143087455989
S_shared7,7,oulad_FFF_2014B,oulad_FFF_2014J,D1_same_module,gradient_boosting,0.8969204801092672
S_shared7,7,oulad_FFF_2014J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8376497883972447
S_shared7,7,oulad_FFF_2014J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.847741976811223
S_shared7,7,oulad_FFF_2014J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8524394447014698
S_shared7,7,oulad_FFF_2014J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8514265807748538
S_shared7,7,oulad_FFF_2014J,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8154377766238905
S_shared7,7,oulad_FFF_2014J,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8490973621896077
S_shared7,7,oulad_FFF_2014J,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8476144950400117
S_shared7,7,oulad_FFF_2014J,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.839791335711217
S_shared7,7,oulad_FFF_2014J,oulad_FFF_2013B,D1_same_module,gradient_boosting,0.8460915982195554
