cohort_id,institution,rule,n_students,auc,recall_at_flag20,cutoff
ukzn_ISTN102_2018,UKZN,cum_active_days,257,0.6570961718020542,0.3235294117647059,f25
ukzn_ISTN102_2018,UKZN,cum_clicks,257,0.6417678182384065,0.3088235294117647,f25
ukzn_ISTN102_2018,UKZN,active_weeks,257,0.60609243697479,0.29411764705882354,f25
ukzn_ISTN102_2018,UKZN,weeks_since_active,257,0.6006847183317772,0.29411764705882354,f25
ukzn_ISTN103_2019,UKZN,cum_active_days,1113,0.6590118901189013,0.27666666666666667,f25
ukzn_ISTN103_2019,UKZN,cum_clicks,1113,0.6602193521935219,0.2966666666666667,f25
ukzn_ISTN103_2019,UKZN,active_weeks,1113,0.637751127511275,0.3,f25
ukzn_ISTN103_2019,UKZN,weeks_since_active,1113,0.5619946699466996,0.28,f25
ukzn_ISTN103_2020,UKZN,cum_active_days,1082,0.6983229171350209,0.3565217391304348,f25
ukzn_ISTN103_2020,UKZN,cum_clicks,1082,0.6747358482082639,0.3652173913043478,f25
ukzn_ISTN103_2020,UKZN,active_weeks,1082,0.672699069286453,0.34782608695652173,f25
ukzn_ISTN103_2020,UKZN,weeks_since_active,1082,0.5640124095139607,0.25217391304347825,f25
ukzn_ISTN211_2019,UKZN,cum_active_days,280,0.7905827787860455,0.5263157894736842,f25
ukzn_ISTN211_2019,UKZN,cum_clicks,280,0.7334139947570074,0.5263157894736842,f25
ukzn_ISTN211_2019,UKZN,active_weeks,280,0.7918935269207502,0.5263157894736842,f25
ukzn_ISTN211_2019,UKZN,weeks_since_active,280,0.5825771324863884,0.2631578947368421,f25
ukzn_ISTN211_2021,UKZN,cum_active_days,327,0.7577798861480076,0.47058823529411764,f25
ukzn_ISTN211_2021,UKZN,cum_clicks,327,0.7644212523719165,0.4117647058823529,f25
ukzn_ISTN211_2021,UKZN,active_weeks,327,0.7020872865275143,0.47058823529411764,f25
ukzn_ISTN211_2021,UKZN,weeks_since_active,327,0.6500948766603416,0.47058823529411764,f25
ukzn_ISTN212_2018,UKZN,cum_active_days,238,0.7635309278350515,0.38636363636363635,f25
ukzn_ISTN212_2018,UKZN,cum_clicks,238,0.6978678537956888,0.29545454545454547,f25
ukzn_ISTN212_2018,UKZN,active_weeks,238,0.7177835051546393,0.3409090909090909,f25
ukzn_ISTN212_2018,UKZN,weeks_since_active,238,0.6481373008434863,0.4090909090909091,f25
ukzn_ISTN212_2019,UKZN,cum_active_days,264,0.7724688974688976,0.38095238095238093,f25
ukzn_ISTN212_2019,UKZN,cum_clicks,264,0.7583118833118834,0.47619047619047616,f25
ukzn_ISTN212_2019,UKZN,active_weeks,264,0.7166988416988417,0.40476190476190477,f25
ukzn_ISTN212_2019,UKZN,weeks_since_active,264,0.6155083655083655,0.35714285714285715,f25
ukzn_ISTN2IP_2018,UKZN,cum_active_days,99,0.7108108108108109,0.28,f25
ukzn_ISTN2IP_2018,UKZN,cum_clicks,99,0.7502702702702704,0.4,f25
ukzn_ISTN2IP_2018,UKZN,active_weeks,99,0.6221621621621622,0.24,f25
ukzn_ISTN2IP_2018,UKZN,weeks_since_active,99,0.5424324324324324,0.28,f25
ukzn_ISTN2IP_2019,UKZN,cum_active_days,116,0.7061688311688311,0.39285714285714285,f25
ukzn_ISTN2IP_2019,UKZN,cum_clicks,116,0.6921672077922079,0.39285714285714285,f25
ukzn_ISTN2IP_2019,UKZN,active_weeks,116,0.671875,0.42857142857142855,f25
ukzn_ISTN2IP_2019,UKZN,weeks_since_active,116,0.638189935064935,0.35714285714285715,f25
ukzn_ISTN3ND_2018,UKZN,cum_active_days,144,0.627142569066344,0.22807017543859648,f25
ukzn_ISTN3ND_2018,UKZN,cum_clicks,144,0.5864085501109095,0.2631578947368421,f25
ukzn_ISTN3ND_2018,UKZN,active_weeks,144,0.6138334341601129,0.22807017543859648,f25
ukzn_ISTN3ND_2018,UKZN,weeks_since_active,144,0.5356926799758016,0.24561403508771928,f25
