cohort_id,institution,n_students,rule_days_auc,rule_days_recall,rule_best_auc,rule_best_name,local_auc,local_recall,transferred_auc,transferred_recall,local_gain_over_rule,transferred_gain_over_rule,cutoff
ku_Globaleconom_1819,KU Leuven,743,0.6108354803091646,0.26461538461538464,0.619735001840265,cum_clicks,0.5915421420684579,0.2738461538461538,0.5546355952450136,0.23427800269905527,-0.01929333824070667,-0.05619988506415097,f33
ku_Globaleconom_1920,KU Leuven,681,0.6692665253151284,0.33532934131736525,0.6692665253151284,cum_active_days,0.5858011603252639,0.2754491017964072,0.5538506235532212,0.26000630318310747,-0.08346536498986457,-0.11541590176190719,f33
ku_Globaleconom_2021,KU Leuven,335,0.666642887715794,0.3006134969325153,0.666642887715794,cum_active_days,0.587262804965045,0.2515337423312883,0.5477844275405306,0.23904854159939723,-0.07938008275074904,-0.11885846017526347,f33
oulad_AAA_2013J,OULAD,383,0.7425316889345667,0.44761904761904764,0.7685337444330249,active_weeks,0.7094552929085304,0.4,0.6161095798685726,0.3207792207792208,-0.03307639602603629,-0.12642210906599405,f33
oulad_AAA_2014J,OULAD,365,0.7292490118577075,0.3482142857142857,0.7597049689440994,weeks_since_active,0.751464568040655,0.4017857142857143,0.6168213579898363,0.30275974025974023,0.02221555618294746,-0.11242765386787124,f33
oulad_BBB_2013B,OULAD,1767,0.8260381195000077,0.3620331950207469,0.8482415526836603,active_weeks,0.8596516951473467,0.3630705394190871,0.6753705397009423,0.2780554507732931,0.03361357564733902,-0.15066757979906542,f33
oulad_BBB_2013J,OULAD,2237,0.82310350073666,0.37510729613733906,0.8523152744859395,weeks_since_active,0.8597867689449746,0.3768240343347639,0.6604879881464701,0.26049551307062035,0.03668326820831458,-0.16261551259018991,f33
oulad_BBB_2014B,OULAD,1613,0.832315927727977,0.36455981941309257,0.8559721605534355,active_weeks,0.8534066527769584,0.3645598194130925,0.6577519476124087,0.2492817566180997,0.02109072504898135,-0.17456398011556828,f33
oulad_BBB_2014J,OULAD,2292,0.828445952119883,0.39473684210526316,0.8512084247076024,active_weeks,0.8686673824317739,0.3991228070175439,0.6639333992335636,0.26943779904306214,0.04022143031189085,-0.16451255288631939,f33
oulad_CCC_2014B,OULAD,1936,0.8573902338746846,0.3040062843676355,0.875385515859616,active_weeks,0.8815922767681004,0.3040062843676355,0.6792175082284134,0.2566057273441405,0.024202042893415765,-0.17817272564627118,f33
oulad_CCC_2014J,OULAD,2498,0.8267853405923954,0.327714093054619,0.8534597357905191,active_weeks,0.8573491358549605,0.3337828725556305,0.6510171554675938,0.26236743701342485,0.03056379526256514,-0.17576818512480163,f33
oulad_DDD_2013B,OULAD,1303,0.8170969018124273,0.32786885245901637,0.8286069282694162,active_weeks,0.8224229162030512,0.3291298865069357,0.6581231328941068,0.2866846268485613,0.005326014390623857,-0.1589737689183205,f33
oulad_DDD_2013J,OULAD,1938,0.838636291946254,0.34265103697024346,0.8540828901813324,active_weeks,0.8592495222225003,0.3426510369702434,0.6746093828411057,0.29449135175014346,0.020613230276246286,-0.16402690910514828,f33
oulad_DDD_2014B,OULAD,1228,0.8328042121576159,0.32443257676902537,0.8625669298800627,active_weeks,0.8574592149309727,0.3257676902536716,0.6732647705639531,0.2800703968928268,0.02465500277335675,-0.15953944159366285,f33
oulad_DDD_2014J,OULAD,1803,0.8359191569503143,0.34817012858555885,0.8452183806412293,active_weeks,0.8530757625713116,0.3501483679525222,0.6682434309600819,0.28484398884992357,0.0171566056209973,-0.1676757259902324,f33
oulad_EEE_2013J,OULAD,1052,0.8658775256035317,0.46275395033860045,0.8679773302642454,active_weeks,0.8449313717858904,0.474040632054176,0.681453205340105,0.3450133388056638,-0.02094615381764131,-0.1844243202634267,f33
oulad_EEE_2014B,OULAD,694,0.8659244113075498,0.4094955489614243,0.8695775045923414,active_weeks,0.8568394716937219,0.4124629080118694,0.6869584494169936,0.3251281359589965,-0.009084939613827947,-0.17896596189055625,f33
oulad_EEE_2014J,OULAD,1188,0.8740311426714936,0.4662698412698413,0.8774671052631579,active_weeks,0.8618769145084935,0.4702380952380952,0.6758715694433897,0.34302849927849927,-0.012154228163000158,-0.19815957322810396,f33
