feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json,metric_mae,metric_rmse,metric_r2
B_lms_plus_indices,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_indices,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_indices,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_indices,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",1.7322034497016792,2.202252618495831,0.9887377639494337
B_lms_plus_indices,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.580235901875905,3.150051618368534,0.9769577069072763
B_lms_plus_indices,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.3986605593323884,2.951838270994651,0.9797662922033661
B_lms_plus_temporal,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_temporal,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_temporal,gradient_boosting,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_temporal,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.1618823507971214,2.8505654317687843,0.9811308479507529
B_lms_plus_temporal,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.8055351939539337,2.299684707894284,0.9877191917553243
B_lms_plus_temporal,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.6568687043359616,2.0778230224803402,0.9899744671678401
B_lms_plus_temporal,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_temporal,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_temporal,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_temporal,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.166293315670468,2.6581252044174843,0.9835925449731121
B_lms_plus_temporal,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.7848077784703014,3.4491154627940595,0.9723747751369384
B_lms_plus_temporal,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.487032017619223,3.1411770836986372,0.9770873565783176
B_lms_plus_trends_mastery,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_trends_mastery,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,0.9999999999999999,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_trends_mastery,gradient_boosting,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_trends_mastery,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.0244237639579246,2.6948807536855726,0.9831356556602764
B_lms_plus_trends_mastery,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.6377666278722132,2.0417435985800845,0.9903196120837803
B_lms_plus_trends_mastery,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.57293550816071,1.9733133574254715,0.9909576259778604
B_lms_plus_trends_mastery,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_trends_mastery,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_trends_mastery,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_trends_mastery,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.0239015199873753,2.5547117575027114,0.9848443638944167
B_lms_plus_trends_mastery,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.7931287797780087,3.444507601987708,0.9724485379108085
B_lms_plus_trends_mastery,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.767381182986657,3.4419760944979645,0.9724890203894939
C_twin_full,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin_full,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin_full,gradient_boosting,passed,classification,student_group,602,196,86,28,0.9948979591836735,0.9929078014184397,1.0,0.99644128113879,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin_full,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.036670945642393,2.6976657748788337,0.9831007807771381
C_twin_full,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.7316394051530355,2.1491012852674984,0.9892748315145331
C_twin_full,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.6799021603667237,2.265422180952575,0.9880824041800147
C_twin_full,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin_full,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin_full,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin_full,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.3959261464757065,2.9373100213989676,0.9799649731123659
C_twin_full,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.659956986655452,3.2344265582002576,0.9757067877645462
C_twin_full,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.5980208553333766,3.2551357784885186,0.9753947051958595
